,jd,mag,mag_unc,filter,limmag,programid
0,2459373.6932176,99.0,99.0,i,20.3323626431923,2.0
1,2459376.7324537,18.4884913586907,0.0215571910155126,g,20.9963967228613,2.0
2,2459376.7751736,18.2228190187953,0.0188192849734248,r,20.8781970112206,2.0
3,2459376.8206134,18.3673327660145,0.0203090184093604,r,20.9399962219386,2.0
4,2459376.8600579,18.7693471733257,0.0251127962571926,g,21.1114952794544,2.0
5,2459377.8335648,20.8663003444266,0.120588177103326,g,21.5049243082548,2.0
6,2459377.8612847,20.7913776709058,0.136450809311308,g,21.2958231702904,2.0
7,2459377.8958796,20.2397748179701,0.10212867889343,r,21.0587913219657,2.0
8,2459378.7083449,99.0,99.0,g,21.3040406259009,2.0
9,2459378.754838,99.0,99.0,r,21.2358660274434,2.0
10,2459378.774213,99.0,99.0,i,20.7181752973091,2.0
11,2459378.8232176,21.142256865086,0.197201984655952,r,21.2468644506767,2.0
12,2459378.8404282,99.0,99.0,g,21.2396377065785,2.0
13,2459381.8377315,99.0,99.0,i,20.4408003209373,2.0
14,2459382.7226042,99.0,99.0,g,20.746446865172,2.0
15,2459382.7983449,99.0,99.0,g,21.0612205238093,2.0
16,2459382.8378935,99.0,99.0,r,21.0806724358778,2.0
17,2459384.7753819,99.0,99.0,i,18.3766537059091,2.0
