,jd,mag,mag_unc,filter,limmag,programid
0,2459380.9215162,99.0,99.0,g,18.3679978941344,3.0
1,2459380.9365972,99.0,99.0,g,19.0894965497313,3.0
2,2459380.9424306,99.0,99.0,r,18.721986439584,3.0
3,2459380.9546991,18.5696831043353,0.263826011308838,r,18.3582748645006,3.0
4,2459381.9246065,17.4842467458217,0.0709908439404612,i,18.698126687149,2.0
5,2459385.8728009,19.4650113201358,0.0751860751503589,r,20.6165535730851,3.0
6,2459385.8950347,19.9928074551681,0.103841499795845,r,20.7937658640809,3.0
7,2459385.9129977,99.0,99.0,g,20.811966113879,3.0
8,2459385.920162,20.7717266767591,0.142800867742421,g,21.2267853496556,3.0
9,2459385.9439468,19.5128377887514,0.0794585387483667,i,20.6043721426741,2.0
10,2459386.9137963,19.1885546838964,0.0520956659607892,r,20.7384364875609,3.0
11,2459386.9151968,19.036346288579,0.0394670505393026,r,20.8876453981376,3.0
12,2459386.9373495,20.9394246819067,0.138562748825412,g,21.4271942451285,3.0
13,2459386.9435301,20.3980638891113,0.101696854339778,g,21.2216808790818,3.0
14,2459387.8804051,19.0459690008238,0.121256810305017,g,19.6785894403927,3.0
15,2459387.8808796,99.0,99.0,g,19.8509517557254,3.0
16,2459387.9389815,19.2745177417954,0.0488795250556447,r,20.8935860874484,3.0
17,2459387.9408681,19.7938662700638,0.0784811003457769,r,20.8988393505334,3.0
