,jd,mag,mag_unc,filter,limmag,programid
0,2459385.7212616,99.0,99.0,r,20.5501038422782,3.0
1,2459386.7393634,99.0,99.0,i,19.6343610032191,2.0
2,2459386.7437384,99.0,99.0,i,19.6970489277294,2.0
3,2459387.7274769,99.0,99.0,r,20.2486110822573,3.0
4,2459387.7852894,99.0,99.0,g,19.7288196467659,3.0
5,2459390.701875,20.3264909710788,0.266366574069068,g,20.1046774477398,3.0
6,2459390.8086921,99.0,99.0,r,19.9277044178787,3.0
7,2459392.7021412,20.5603919067162,0.145908934983613,r,20.9920729771215,3.0
8,2459392.7040741,20.1796455145667,0.10629683739592,r,20.9552304453116,3.0
9,2459392.7753588,99.0,99.0,g,19.8225498026357,3.0
10,2459392.7758333,99.0,99.0,g,19.7632714319435,3.0
