,jd,mag,mag_unc,filter,limmag,programid
0,2459387.7372338,99.0,99.0,r,20.4153658584544,3.0
1,2459387.7448495,99.0,99.0,r,20.2833046185038,3.0
2,2459387.7491667,99.0,99.0,r,20.3014303351188,3.0
3,2459387.7568171,99.0,99.0,i,20.1131249740536,2.0
4,2459387.8253009,99.0,99.0,g,20.1836021057903,3.0
5,2459390.7159375,20.289112163571,0.179994072179412,g,20.492852446323,3.0
6,2459390.8183102,99.0,99.0,r,20.4164960672221,3.0
7,2459391.7162731,20.2967794291117,0.180715472592383,g,20.4961768736876,3.0
8,2459391.7800926,20.1498260484258,0.154619392157033,r,20.5185519334412,3.0
9,2459391.8400926,20.0018462375694,0.194749918934396,i,20.1200388127422,2.0
10,2459392.7217708,20.2272168506716,0.0751337393983889,g,21.3795151293409,3.0
11,2459392.819919,20.0938344159089,0.15879358537013,r,20.4336378183151,3.0
