,jd,mag,mag_unc,filter,limmag,programid
0,2459391.9368171,99.0,99.0,g,20.0321851555607,2.0
1,2459391.9372917,99.0,99.0,g,20.0279133480211,3.0
2,2459392.8995602,99.0,99.0,r,20.1215930945647,2.0
3,2459392.9000347,99.0,99.0,r,20.1057639003749,3.0
4,2459394.9546412,17.6691159902958,0.0237800552139985,r,20.0704696327483,2.0
5,2459394.9551157,17.7297624410383,0.022641631231919,r,20.1843789484083,3.0
6,2459395.9015394,18.0503605044883,0.0291152213237361,g,20.2319460540511,2.0
7,2459395.9020023,18.1149912468854,0.0307878090404442,g,20.2359300754516,3.0
8,2459396.9577546,18.9820309144017,0.0498719994706086,g,20.5792747526863,2.0
9,2459396.9582292,19.0624384697983,0.0519657168386854,g,20.6150319525927,3.0
10,2459396.9586921,19.0259922533861,0.0509077729860217,g,20.6009177955155,2.0
11,2459396.9591667,18.9827788145653,0.0481784415247552,g,20.6175327353054,3.0
12,2459399.932581,99.0,99.0,g,21.1492983605478,2.0
13,2459399.9330556,99.0,99.0,g,21.165005123373,3.0
14,2459399.9363542,99.0,99.0,g,17.1882754001267,2.0
15,2459400.8676157,99.0,99.0,g,20.8984452769513,2.0
16,2459400.8680787,99.0,99.0,g,21.1348268411095,3.0
