,jd,mag,mag_unc,filter,limmag,programid
0,2459396.6824884,99.0,99.0,r,20.4020928659227,2.0
1,2459396.6834375,99.0,99.0,r,20.6542899865304,2.0
2,2459396.684375,99.0,99.0,r,20.6348684756353,2.0
3,2459396.68625,99.0,99.0,r,20.6219993706889,2.0
4,2459397.6824653,20.3729926699067,0.21747141757882,r,20.3713729954669,2.0
5,2459397.6843519,99.0,99.0,r,20.7051887397617,2.0
6,2459397.6852894,20.4334242456413,0.19116439445407,r,20.5717925211076,2.0
7,2459397.6862269,99.0,99.0,r,20.6048089222395,2.0
8,2459399.684294,18.146010505724,0.163680933029248,r,18.4529010648632,2.0
9,2459399.6852431,17.1576605191129,0.0516895350780789,r,18.7160397434038,2.0
10,2459399.6861806,99.0,99.0,r,20.1694669981193,2.0
11,2459400.6822801,99.0,99.0,r,20.0031172836992,2.0
12,2459400.6832176,99.0,99.0,r,20.0816440204534,2.0
13,2459400.6841667,19.6529993611753,0.145608416334254,r,20.0869189542066,2.0
14,2459400.6860532,99.0,99.0,r,20.0539989296526,2.0
15,2459401.6821296,99.0,99.0,r,20.1716435576266,2.0
16,2459401.6830671,19.5442478372621,0.114099398218101,r,20.2429252416718,2.0
17,2459401.6840162,99.0,99.0,r,20.2201582727944,2.0
18,2459401.6849537,99.0,99.0,r,20.2710525827046,2.0
19,2459401.6858912,20.446561508489,0.252181266257127,r,20.2841652448758,2.0
