,jd,mag,mag_unc,filter,limmag,programid
0,2459397.7126852,99.0,99.0,r,21.2405236540991,2.0
1,2459397.7551736,99.0,99.0,g,21.2112938750828,2.0
2,2459397.8126736,99.0,99.0,g,21.2424899766696,2.0
3,2459397.8283912,99.0,99.0,i,20.5875442277646,2.0
4,2459397.8565046,99.0,99.0,r,21.1505036185461,2.0
5,2459399.7270255,99.0,99.0,r,21.2508503270339,2.0
6,2459399.7686458,99.0,99.0,g,21.2857827261466,2.0
7,2459399.8121644,99.0,99.0,g,21.3481492067171,2.0
8,2459399.8299884,99.0,99.0,r,21.2615025596235,2.0
9,2459400.7262384,99.0,99.0,r,21.2216200220344,2.0
10,2459400.7890625,99.0,99.0,g,21.1490234375882,2.0
11,2459400.8002199,99.0,99.0,g,21.1549851334266,2.0
12,2459400.8245023,99.0,99.0,i,20.7543995607547,2.0
13,2459400.8508796,99.0,99.0,r,21.0979727012528,2.0
14,2459401.7374306,21.0049211043338,0.240777768339273,g,20.8927659312848,2.0
15,2459401.7953819,21.197328665239,0.212977300741237,r,21.2183811580358,2.0
16,2459401.8164468,21.1153766565122,0.200213773320248,r,21.2035275690487,2.0
17,2459401.8607986,20.8487269342958,0.196199811086988,g,20.9588662611892,2.0
18,2459402.7597222,20.5502942180675,0.1294560194853,r,21.1118743841662,2.0
19,2459402.79125,20.3538704717977,0.109701574789848,g,21.0952241058622,2.0
20,2459402.800544,20.4293909478045,0.117902763762487,g,21.0924667730824,2.0
21,2459403.7103472,19.9785643227569,0.0723564111715794,r,21.1717575668153,2.0
22,2459403.7880208,19.7461255702511,0.0571692113080155,g,21.1951058572457,2.0
23,2459403.8004514,20.0115186155836,0.0717298731053867,r,21.2141542483197,2.0
24,2459403.8668634,19.6516662455505,0.068263987369824,g,20.9080729039629,2.0
25,2459404.7036111,19.6521442407803,0.0812252947433844,i,20.7198017899956,2.0
26,2459404.7149884,19.5329971240157,0.0537350197979,r,21.0492393800505,2.0
27,2459404.7989468,19.5336123928355,0.0556786332292134,r,21.0112767671939,2.0
28,2459404.819919,19.2576991444308,0.0472743959255999,g,20.9130199632279,2.0
29,2459404.8535185,19.2759138368804,0.0505684159511715,g,20.8581012518983,2.0
30,2459405.7073032,19.2258578433041,0.0398707197510534,r,21.0661084432214,2.0
31,2459405.8102778,19.15365463957,0.0463276726255756,g,20.8309392211742,2.0
