,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459404.8373032,19.7413063049316,0.173568904399872,g,99.0,1,0.0
1,2459404.9205903,19.327730178833,0.15430673956871,r,99.0,1,0.0
2,2459406.8363079,18.8696212768555,0.104308627545834,r,99.0,1,0.0
3,2459406.8580787,20.2028007507324,0.252862006425858,g,99.0,1,0.0
4,2459408.8158218,19.6109886169434,0.210743114352226,r,99.0,1,0.0
5,2459404.8373032,19.7413063049316,0.173568904399872,g,99.0,1,0.0
6,2459406.8363079,18.8696212768555,0.104308627545834,r,99.0,1,0.0
7,2459406.8580787,20.2028007507324,0.252862006425858,g,99.0,1,0.0
8,2459408.8158218,19.6109886169434,0.210743114352226,r,99.0,1,0.0
9,2459404.8373032,19.7413063049316,0.173568904399872,g,99.0,1,0.0
10,2459406.8580787,20.2028007507324,0.252862006425858,g,99.0,1,0.0
11,2459408.8158218,19.6109886169434,0.210743114352226,r,99.0,1,0.0
12,2459404.8373032,19.7413063049316,0.173568904399872,g,99.0,1,0.0
13,2459408.8158218,19.6109886169434,0.210743114352226,r,99.0,1,0.0
14,2459404.8373032,19.7413063049316,0.173568904399872,g,99.0,1,0.0
