,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459404.9618866,99.0,99.0,r,21.2369296079819,2.0,1.0
1,2459407.908287,20.0968179322261,0.121833877788869,i,20.7242835528948,2.0,1.0
2,2459409.933669,99.0,99.0,g,21.2398683517688,2.0,1.0
3,2459409.9615741,20.9483288618832,0.168818207117386,r,21.2216664418116,2.0,1.0
4,2459410.9289005,21.1011525776029,0.225920440030233,r,21.0581495535505,2.0,1.0
5,2459410.9647801,99.0,99.0,g,21.2471008051242,2.0,1.0
6,2459411.9329282,19.5331790057111,0.0798447825541517,i,20.6194484385747,2.0,1.0
7,2459412.9289931,20.9193907701989,0.159590801062257,r,21.2537569226281,2.0,1.0
8,2459412.9438542,99.0,99.0,g,21.347575623262,2.0,1.0
9,2459414.9147569,99.0,99.0,g,21.3647653849579,2.0,1.0
10,2459414.9498727,21.5777705590858,0.257487754488005,r,21.3927648985667,2.0,1.0
11,2459416.9152894,99.0,99.0,r,20.909174814537,2.0,1.0
12,2459403.9474537,19.7349014282227,0.202454879879951,i,99.0,2.0,0.0
13,2459407.908287,20.0659008026123,0.299818992614746,i,99.0,2.0,0.0
14,2459407.908287,20.0659008026123,0.299818992614746,i,99.0,2.0,0.0
