,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459403.854375,99.0,99.0,r,21.2116543041774,2.0,1.0
1,2459407.7779282,19.1169929504395,0.0998884662985802,g,99.0,1.0,0.0
2,2459407.8176389,19.0496425628662,0.0803996101021767,r,99.0,1.0,0.0
3,2459409.7965856,19.6502265930176,0.142810761928558,r,99.0,1.0,0.0
4,2459411.7693171,20.2622661590576,0.207317098975182,r,99.0,1.0,0.0
5,2459407.7779282,19.1169929504395,0.0998884662985802,g,99.0,1.0,0.0
6,2459407.8176389,19.0496425628662,0.0803996101021767,r,99.0,1.0,0.0
7,2459409.7965856,19.6502265930176,0.142810761928558,r,99.0,1.0,0.0
8,2459407.7779282,19.1169929504395,0.0998884662985802,g,99.0,1.0,0.0
9,2459409.7965856,19.6502265930176,0.142810761928558,r,99.0,1.0,0.0
10,2459409.7965856,19.6502265930176,0.142810761928558,r,99.0,1.0,0.0
