,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459412.8460417,18.6219139099121,0.0745097473263741,g,99.0,1,0.0
1,2459412.9270255,18.2659931182861,0.0636880546808243,r,99.0,1,0.0
2,2459412.9483796,18.7911605834961,0.0828584209084511,g,99.0,1,0.0
3,2459415.8896991,18.9876728057861,0.100342243909836,r,99.0,1,0.0
4,2459415.9436806,19.6148777008057,0.125739902257919,g,99.0,1,0.0
5,2459415.9478125,19.685905456543,0.11344575881958,g,99.0,1,0.0
6,2459412.8460417,18.6219139099121,0.0745097473263741,g,99.0,1,0.0
7,2459412.9270255,18.2659931182861,0.0636880546808243,r,99.0,1,0.0
8,2459412.9483796,18.7911605834961,0.0828584209084511,g,99.0,1,0.0
9,2459415.8896991,18.9876728057861,0.100342243909836,r,99.0,1,0.0
10,2459415.9436806,19.6148777008057,0.125739902257919,g,99.0,1,0.0
11,2459412.8460417,18.6219139099121,0.0745097473263741,g,99.0,1,0.0
12,2459412.9270255,18.2659931182861,0.0636880546808243,r,99.0,1,0.0
13,2459415.8896991,18.9876728057861,0.100342243909836,r,99.0,1,0.0
14,2459415.9436806,19.6148777008057,0.125739902257919,g,99.0,1,0.0
15,2459412.9270255,18.2659931182861,0.0636880546808243,r,99.0,1,0.0
16,2459415.8896991,18.9876728057861,0.100342243909836,r,99.0,1,0.0
17,2459415.9436806,19.6148777008057,0.125739902257919,g,99.0,1,0.0
18,2459415.8896991,18.9876728057861,0.100342243909836,r,99.0,1,0.0
19,2459415.9436806,19.6148777008057,0.125739902257919,g,99.0,1,0.0
20,2459415.8896991,18.9876728057861,0.100342243909836,r,99.0,1,0.0
