,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459410.9269213,99.0,99.0,r,21.0920067262782,2.0,1.0
1,2459410.9657292,99.0,99.0,g,21.2704898871335,2.0,1.0
2,2459412.9255671,99.0,99.0,r,21.2873164256836,2.0,1.0
3,2459412.9640972,99.0,99.0,g,21.5885283855883,2.0,1.0
4,2459414.9128704,99.0,99.0,g,21.4877898113215,2.0,1.0
5,2459414.9678125,99.0,99.0,r,21.6442382742039,2.0,1.0
6,2459416.916713,15.3556841572948,0.00406789090328961,r,19.6741467037134,2.0,1.0
7,2459417.9310764,15.4625722182572,0.00454872872344596,g,19.6597329143523,2.0,1.0
8,2459417.9510532,15.7152779316447,0.00514330694969288,r,19.7790576118681,2.0,1.0
9,2459415.9099306,18.623363494873,0.0602068156003952,r,99.0,1.0,0.0
10,2459415.963206,17.7726020812988,0.0482413321733475,g,99.0,1.0,0.0
11,2459416.916713,15.4827013015747,0.0353349782526493,r,99.0,2.0,0.0
12,2459417.9310764,15.5360164642334,0.0284995548427105,g,99.0,2.0,0.0
13,2459417.9510532,15.8040390014648,0.0284406859427691,r,99.0,2.0,0.0
14,2459415.9099306,18.623363494873,0.0602068156003952,r,99.0,1.0,0.0
15,2459415.963206,17.7726020812988,0.0482413321733475,g,99.0,1.0,0.0
16,2459416.916713,15.4827013015747,0.0353349782526493,r,99.0,2.0,0.0
17,2459417.9310764,15.5360164642334,0.0284995548427105,g,99.0,2.0,0.0
18,2459415.9099306,18.623363494873,0.0602068156003952,r,99.0,1.0,0.0
19,2459416.916713,15.4827013015747,0.0353349782526493,r,99.0,2.0,0.0
20,2459417.9310764,15.5360164642334,0.0284995548427105,g,99.0,2.0,0.0
21,2459415.9099306,18.623363494873,0.0602068156003952,r,99.0,1.0,0.0
22,2459417.9310764,15.5360164642334,0.0284995548427105,g,99.0,2.0,0.0
23,2459415.9099306,18.623363494873,0.0602068156003952,r,99.0,1.0,0.0
