,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459422.8735185,17.070972442627,0.0486873239278793,r,99.0,1,0.0
1,2459422.8934954,17.05637550354,0.0599155128002167,r,99.0,1,0.0
2,2459424.764838,17.7737464904785,0.0642769187688828,g,99.0,1,0.0
3,2459424.7879861,17.7422828674316,0.0519852489233017,g,99.0,1,0.0
4,2459424.8198264,17.7524223327637,0.0552874356508255,r,99.0,1,0.0
5,2459424.8217824,17.7062072753906,0.0517596714198589,r,99.0,1,0.0
6,2459422.8735185,17.070972442627,0.0486873239278793,r,99.0,1,0.0
7,2459422.8934954,17.05637550354,0.0599155128002167,r,99.0,1,0.0
8,2459424.764838,17.7737464904785,0.0642769187688828,g,99.0,1,0.0
9,2459424.8198264,17.7524223327637,0.0552874356508255,r,99.0,1,0.0
10,2459424.8217824,17.7062072753906,0.0517596714198589,r,99.0,1,0.0
11,2459422.8735185,17.070972442627,0.0486873239278793,r,99.0,1,0.0
12,2459422.8934954,17.05637550354,0.0599155128002167,r,99.0,1,0.0
13,2459424.764838,17.7737464904785,0.0642769187688828,g,99.0,1,0.0
14,2459424.8217824,17.7062072753906,0.0517596714198589,r,99.0,1,0.0
15,2459422.8735185,17.070972442627,0.0486873239278793,r,99.0,1,0.0
16,2459422.8934954,17.05637550354,0.0599155128002167,r,99.0,1,0.0
17,2459424.764838,17.7737464904785,0.0642769187688828,g,99.0,1,0.0
18,2459422.8735185,17.070972442627,0.0486873239278793,r,99.0,1,0.0
19,2459424.764838,17.7737464904785,0.0642769187688828,g,99.0,1,0.0
20,2459424.764838,17.7737464904785,0.0642769187688828,g,99.0,1,0.0
