,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459422.9055093,18.4811687469482,0.0830780416727066,r,99.0,1,0.0
1,2459422.9293056,18.3969097137451,0.0758240222930908,r,99.0,1,0.0
2,2459424.7854745,18.5012798309326,0.111142940819263,g,99.0,1,0.0
3,2459424.8607292,18.1872787475586,0.0683628097176552,r,99.0,1,0.0
4,2459424.9100579,18.0698432922363,0.0608333796262741,r,99.0,1,0.0
5,2459424.9328472,18.5785179138184,0.103408671915531,g,99.0,1,0.0
6,2459422.9055093,18.4811687469482,0.0830780416727066,r,99.0,1,0.0
7,2459422.9293056,18.3969097137451,0.0758240222930908,r,99.0,1,0.0
8,2459424.7854745,18.5012798309326,0.111142940819263,g,99.0,1,0.0
9,2459424.9100579,18.0698432922363,0.0608333796262741,r,99.0,1,0.0
10,2459424.9328472,18.5785179138184,0.103408671915531,g,99.0,1,0.0
11,2459422.9055093,18.4811687469482,0.0830780416727066,r,99.0,1,0.0
12,2459422.9293056,18.3969097137451,0.0758240222930908,r,99.0,1,0.0
13,2459424.7854745,18.5012798309326,0.111142940819263,g,99.0,1,0.0
14,2459424.9328472,18.5785179138184,0.103408671915531,g,99.0,1,0.0
15,2459422.9055093,18.4811687469482,0.0830780416727066,r,99.0,1,0.0
16,2459422.9293056,18.3969097137451,0.0758240222930908,r,99.0,1,0.0
17,2459424.7854745,18.5012798309326,0.111142940819263,g,99.0,1,0.0
18,2459422.9055093,18.4811687469482,0.0830780416727066,r,99.0,1,0.0
19,2459424.7854745,18.5012798309326,0.111142940819263,g,99.0,1,0.0
20,2459424.7854745,18.5012798309326,0.111142940819263,g,99.0,1,0.0
