,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459418.9531019,99.0,99.0,g,20.2069921852863,2.0,1.0
1,2459419.9248495,99.0,99.0,g,19.6364254395086,2.0,1.0
2,2459419.9480787,99.0,99.0,r,19.4487167253994,2.0,1.0
3,2459422.904537,18.8025801522878,0.0376329168487656,r,20.705546239173,2.0,1.0
4,2459422.9467593,18.8194861133762,0.0407824130387832,g,20.6351896054572,2.0,1.0
5,2459423.9034259,14.1679005809683,0.00213078903295796,g,19.1884352379818,2.0,1.0
6,2459423.9311574,14.0131682715237,0.00654118876831845,r,17.8159123547106,2.0,1.0
7,2459422.904537,18.8024787902832,0.117104336619377,r,99.0,2.0,0.0
8,2459422.905,18.7453441619873,0.120825402438641,r,99.0,1.0,0.0
9,2459422.9467593,18.8287296295166,0.0817054882645607,g,99.0,2.0,0.0
10,2459422.9472338,18.9022693634033,0.107981964945793,g,99.0,1.0,0.0
11,2459423.9034259,14.1704072952271,0.0222338326275349,g,99.0,2.0,0.0
12,2459423.9311574,14.0312376022339,0.0230076499283314,r,99.0,2.0,0.0
13,2459424.7961574,14.4567346572876,0.0233116019517183,g,99.0,1.0,0.0
14,2459424.8883218,14.2428722381592,0.0282284617424011,r,99.0,1.0,0.0
15,2459424.9116088,14.2316627502441,0.0382572971284389,r,99.0,1.0,0.0
16,2459424.9343171,14.5228853225708,0.0308186858892441,g,99.0,1.0,0.0
17,2459422.904537,18.8024787902832,0.117104336619377,r,99.0,2.0,0.0
18,2459422.905,18.7453441619873,0.120825402438641,r,99.0,1.0,0.0
19,2459422.9467593,18.8287296295166,0.0817054882645607,g,99.0,2.0,0.0
20,2459422.9472338,18.9022693634033,0.107981964945793,g,99.0,1.0,0.0
21,2459423.9034259,14.1704072952271,0.0222338326275349,g,99.0,2.0,0.0
22,2459423.9311574,14.0312376022339,0.0230076499283314,r,99.0,2.0,0.0
23,2459424.7961574,14.4567346572876,0.0233116019517183,g,99.0,1.0,0.0
24,2459424.9116088,14.2316627502441,0.0382572971284389,r,99.0,1.0,0.0
25,2459424.9343171,14.5228853225708,0.0308186858892441,g,99.0,1.0,0.0
26,2459422.904537,18.8024787902832,0.117104336619377,r,99.0,2.0,0.0
27,2459422.905,18.7453441619873,0.120825402438641,r,99.0,1.0,0.0
28,2459422.9467593,18.8287296295166,0.0817054882645607,g,99.0,2.0,0.0
29,2459422.9472338,18.9022693634033,0.107981964945793,g,99.0,1.0,0.0
30,2459423.9034259,14.1704072952271,0.0222338326275349,g,99.0,2.0,0.0
31,2459423.9311574,14.0312376022339,0.0230076499283314,r,99.0,2.0,0.0
32,2459424.7961574,14.4567346572876,0.0233116019517183,g,99.0,1.0,0.0
33,2459424.9343171,14.5228853225708,0.0308186858892441,g,99.0,1.0,0.0
34,2459422.904537,18.8024787902832,0.117104336619377,r,99.0,2.0,0.0
35,2459422.905,18.7453441619873,0.120825402438641,r,99.0,1.0,0.0
36,2459422.9467593,18.8287296295166,0.0817054882645607,g,99.0,2.0,0.0
37,2459422.9472338,18.9022693634033,0.107981964945793,g,99.0,1.0,0.0
38,2459423.9034259,14.1704072952271,0.0222338326275349,g,99.0,2.0,0.0
39,2459423.9311574,14.0312376022339,0.0230076499283314,r,99.0,2.0,0.0
40,2459424.7961574,14.4567346572876,0.0233116019517183,g,99.0,1.0,0.0
41,2459422.904537,18.8024787902832,0.117104336619377,r,99.0,2.0,0.0
42,2459422.905,18.7453441619873,0.120825402438641,r,99.0,1.0,0.0
43,2459422.9472338,18.9022693634033,0.107981964945793,g,99.0,1.0,0.0
44,2459423.9034259,14.1704072952271,0.0222338326275349,g,99.0,2.0,0.0
45,2459423.9311574,14.0312376022339,0.0230076499283314,r,99.0,2.0,0.0
46,2459424.7961574,14.4567346572876,0.0233116019517183,g,99.0,1.0,0.0
47,2459422.905,18.7453441619873,0.120825402438641,r,99.0,1.0,0.0
48,2459422.9472338,18.9022693634033,0.107981964945793,g,99.0,1.0,0.0
49,2459423.9034259,14.1704072952271,0.0222338326275349,g,99.0,2.0,0.0
50,2459423.9311574,14.0312376022339,0.0230076499283314,r,99.0,2.0,0.0
51,2459424.7961574,14.4567346572876,0.0233116019517183,g,99.0,1.0,0.0
52,2459422.9472338,18.9022693634033,0.107981964945793,g,99.0,1.0,0.0
53,2459423.9034259,14.1704072952271,0.0222338326275349,g,99.0,2.0,0.0
54,2459423.9311574,14.0312376022339,0.0230076499283314,r,99.0,2.0,0.0
55,2459424.7961574,14.4567346572876,0.0233116019517183,g,99.0,1.0,0.0
56,2459422.9472338,18.9022693634033,0.107981964945793,g,99.0,1.0,0.0
57,2459423.9034259,14.1704072952271,0.0222338326275349,g,99.0,2.0,0.0
58,2459424.7961574,14.4567346572876,0.0233116019517183,g,99.0,1.0,0.0
59,2459423.9034259,14.1704072952271,0.0222338326275349,g,99.0,2.0,0.0
60,2459424.7961574,14.4567346572876,0.0233116019517183,g,99.0,1.0,0.0
61,2459424.7961574,14.4567346572876,0.0233116019517183,g,99.0,1.0,0.0
