,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459417.8955671,99.0,99.0,i,18.6022556852583,2.0,1.0
1,2459417.8960417,99.0,99.0,i,18.8945055595083,2.0,1.0
2,2459417.9435648,99.0,99.0,r,20.3687777549914,2.0,1.0
3,2459418.7578588,99.0,99.0,r,18.7429276894669,2.0,1.0
4,2459418.832419,99.0,99.0,g,19.6880719070209,2.0,1.0
5,2459418.8978241,99.0,99.0,r,19.6114673669892,2.0,1.0
6,2459419.7104398,99.0,99.0,g,18.0195176086251,2.0,1.0
7,2459419.9218403,99.0,99.0,g,19.1490592014767,2.0,1.0
8,2459422.8403472,99.0,99.0,i,20.2235397713173,2.0,1.0
9,2459422.8408218,20.0022050512625,0.166178803588856,i,20.2926517705463,2.0,1.0
10,2459422.8665972,20.4572335177601,0.196860247158855,r,20.5637242417801,2.0,1.0
11,2459422.9163426,20.5024081844833,0.213571949874098,r,20.5204334418084,2.0,1.0
12,2459422.9446991,19.8343204772993,0.143594082540834,g,20.2833649084915,2.0,1.0
13,2459423.9008218,20.2954889210271,0.193586719155313,g,20.4201858110993,2.0,1.0
14,2459423.944919,20.320676942768,0.263531453667817,r,20.11048158774,2.0,1.0
15,2459424.778669,19.8690790212721,0.0900524550236407,g,20.8247259175666,2.0,1.0
16,2459424.8301968,19.9874057293326,0.107408844589459,r,20.7516914063037,2.0,1.0
17,2459424.8771644,19.8213236465731,0.0873659115646726,r,20.809854404055,2.0,1.0
18,2459424.9384722,19.9666508020407,0.119563848737256,g,20.6145368750122,2.0,1.0
19,2459425.8302431,19.8682684032337,0.120718449697625,r,20.5057200686652,2.0,1.0
20,2459425.8415856,19.9105716593607,0.129947244040869,i,20.4680397652261,2.0,1.0
21,2459425.8420486,19.7022578251472,0.105836853470749,i,20.4825513147434,2.0,1.0
22,2459425.9009491,19.7054174272198,0.0892923687924423,g,20.6702673555666,2.0,1.0
23,2459425.9484259,99.0,99.0,r,18.4736310598668,2.0,1.0
24,2459422.884919,20.2863006591797,0.337152987718582,r,99.0,1.0,0.0
25,2459422.9446991,19.8759727478027,0.207475796341896,g,99.0,2.0,0.0
26,2459424.7777315,20.1442890167236,0.190721049904823,g,99.0,1.0,0.0
27,2459424.778669,19.8315296173096,0.183131128549576,g,99.0,2.0,0.0
28,2459424.8037384,20.0117702484131,0.177055329084396,g,99.0,1.0,0.0
29,2459424.8311458,19.9555644989014,0.184239953756332,r,99.0,1.0,0.0
30,2459424.8771644,19.8216304779053,0.178784266114235,r,99.0,2.0,0.0
31,2459424.9384722,20.0347003936768,0.238408997654915,g,99.0,2.0,0.0
32,2459425.8302431,19.9350070953369,0.188408151268959,r,99.0,2.0,0.0
33,2459422.884919,20.2863006591797,0.337152987718582,r,99.0,1.0,0.0
34,2459422.9446991,19.8759727478027,0.207475796341896,g,99.0,2.0,0.0
35,2459424.7777315,20.1442890167236,0.190721049904823,g,99.0,1.0,0.0
36,2459424.8037384,20.0117702484131,0.177055329084396,g,99.0,1.0,0.0
37,2459424.8311458,19.9555644989014,0.184239953756332,r,99.0,1.0,0.0
38,2459424.8771644,19.8216304779053,0.178784266114235,r,99.0,2.0,0.0
39,2459424.9384722,20.0347003936768,0.238408997654915,g,99.0,2.0,0.0
40,2459425.8302431,19.9350070953369,0.188408151268959,r,99.0,2.0,0.0
41,2459422.884919,20.2863006591797,0.337152987718582,r,99.0,1.0,0.0
42,2459422.9446991,19.8759727478027,0.207475796341896,g,99.0,2.0,0.0
43,2459424.7777315,20.1442890167236,0.190721049904823,g,99.0,1.0,0.0
44,2459424.8311458,19.9555644989014,0.184239953756332,r,99.0,1.0,0.0
45,2459424.8771644,19.8216304779053,0.178784266114235,r,99.0,2.0,0.0
46,2459424.9384722,20.0347003936768,0.238408997654915,g,99.0,2.0,0.0
47,2459425.8302431,19.9350070953369,0.188408151268959,r,99.0,2.0,0.0
48,2459422.884919,20.2863006591797,0.337152987718582,r,99.0,1.0,0.0
49,2459422.9446991,19.8759727478027,0.207475796341896,g,99.0,2.0,0.0
50,2459424.7777315,20.1442890167236,0.190721049904823,g,99.0,1.0,0.0
51,2459424.8771644,19.8216304779053,0.178784266114235,r,99.0,2.0,0.0
52,2459424.9384722,20.0347003936768,0.238408997654915,g,99.0,2.0,0.0
53,2459425.8302431,19.9350070953369,0.188408151268959,r,99.0,2.0,0.0
54,2459422.884919,20.2863006591797,0.337152987718582,r,99.0,1.0,0.0
55,2459422.9446991,19.8759727478027,0.207475796341896,g,99.0,2.0,0.0
56,2459424.7777315,20.1442890167236,0.190721049904823,g,99.0,1.0,0.0
57,2459424.9384722,20.0347003936768,0.238408997654915,g,99.0,2.0,0.0
58,2459425.8302431,19.9350070953369,0.188408151268959,r,99.0,2.0,0.0
59,2459422.884919,20.2863006591797,0.337152987718582,r,99.0,1.0,0.0
60,2459422.9446991,19.8759727478027,0.207475796341896,g,99.0,2.0,0.0
61,2459424.7777315,20.1442890167236,0.190721049904823,g,99.0,1.0,0.0
62,2459425.8302431,19.9350070953369,0.188408151268959,r,99.0,2.0,0.0
63,2459422.884919,20.2863006591797,0.337152987718582,r,99.0,1.0,0.0
64,2459422.9446991,19.8759727478027,0.207475796341896,g,99.0,2.0,0.0
65,2459424.7777315,20.1442890167236,0.190721049904823,g,99.0,1.0,0.0
66,2459422.884919,20.2863006591797,0.337152987718582,r,99.0,1.0,0.0
67,2459424.7777315,20.1442890167236,0.190721049904823,g,99.0,1.0,0.0
68,2459424.7777315,20.1442890167236,0.190721049904823,g,99.0,1.0,0.0
