,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459417.727037,99.0,99.0,r,18.4784536271278,2.0,1.0
1,2459417.7821528,99.0,99.0,r,17.7355317389211,2.0,1.0
2,2459418.6872685,99.0,99.0,g,20.3374089919876,2.0,1.0
3,2459418.7182407,99.0,99.0,r,19.6559514253065,2.0,1.0
4,2459418.8032755,99.0,99.0,i,17.7751573585451,2.0,1.0
5,2459418.8653125,99.0,99.0,r,19.8971102825865,2.0,1.0
6,2459418.931088,99.0,99.0,g,18.9458357033481,2.0,1.0
7,2459419.7481597,99.0,99.0,r,19.5587718552956,2.0,1.0
8,2459419.8178819,99.0,99.0,r,19.9536699938911,2.0,1.0
9,2459419.8986111,99.0,99.0,g,18.2903803946607,2.0,1.0
10,2459422.8276968,99.0,99.0,i,20.3897151758362,2.0,1.0
11,2459422.8960301,99.0,99.0,r,20.1810604874574,2.0,1.0
12,2459423.7203241,20.8152728061181,0.14088262727037,g,21.2850149901115,2.0,1.0
13,2459423.7373148,20.4880990251035,0.151365449447032,r,20.8799179272573,2.0,1.0
14,2459423.8040856,99.0,99.0,r,19.7226524110849,2.0,1.0
15,2459423.8764931,99.0,99.0,g,19.2662014865871,2.0,1.0
16,2459424.7002662,20.2776541859314,0.0947729761404453,r,21.1778286777269,2.0,1.0
17,2459424.719838,20.6113864385036,0.106528398529441,r,21.3846087320885,2.0,1.0
18,2459424.7481713,20.6764623205739,0.117490581381212,g,21.3433404775739,2.0,1.0
19,2459424.7595949,21.050762624819,0.171066487323057,g,21.3097360697217,2.0,1.0
20,2459425.7039815,20.7662734101142,0.155463517068759,r,21.1290879777709,2.0,1.0
21,2459425.7399769,20.9395701650244,0.150617721532144,g,21.3367657702902,2.0,1.0
22,2459425.7824421,99.0,99.0,i,17.6010540755233,2.0,1.0
23,2459425.8660532,20.6558866380542,0.266100196324563,g,20.4351594397277,2.0,1.0
24,2459423.7203241,20.7451992034912,0.333099991083145,g,99.0,2.0,0.0
25,2459423.7373148,20.4785995483398,0.292842000722885,r,99.0,2.0,0.0
26,2459423.7203241,20.7451992034912,0.333099991083145,g,99.0,2.0,0.0
