,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459417.6973264,99.0,99.0,g,19.6456064219021,2.0,1.0
1,2459417.7265625,99.0,99.0,r,17.8226642527837,2.0,1.0
2,2459417.7812153,99.0,99.0,r,18.4727964569757,2.0,1.0
3,2459417.8739699,99.0,99.0,g,18.5060288061898,2.0,1.0
4,2459418.6863194,99.0,99.0,g,19.9919474530006,2.0,1.0
5,2459418.7177778,99.0,99.0,r,19.3718411201603,2.0,1.0
6,2459418.8079861,99.0,99.0,i,18.9720583958887,2.0,1.0
7,2459418.8643403,99.0,99.0,r,20.033513266015,2.0,1.0
8,2459418.9315625,99.0,99.0,g,19.1399629710913,2.0,1.0
9,2459419.7486343,99.0,99.0,r,19.8057163019649,2.0,1.0
10,2459419.818831,99.0,99.0,r,19.9903287840684,2.0,1.0
11,2459419.9225694,99.0,99.0,g,18.8787551091971,2.0,1.0
12,2459422.8262847,99.0,99.0,i,20.4121478446253,2.0,1.0
13,2459422.8745718,20.1924943703648,0.136579095855587,r,20.695919575977,2.0,1.0
14,2459423.720787,20.3483655529095,0.0911913678643533,g,21.2903670166378,2.0,1.0
15,2459423.7368519,20.0778271740926,0.106520735849205,r,20.8511275684348,2.0,1.0
16,2459423.7791088,20.1111809409739,0.256092875409996,r,19.9320729890207,2.0,1.0
17,2459423.8422106,19.5650470998593,0.188665703702439,g,19.7177004894459,2.0,1.0
18,2459424.7193634,20.0277452707964,0.0696721252788679,r,21.2619834137434,2.0,1.0
19,2459424.7491319,20.1708601370412,0.0663753075025151,g,21.4577295609149,2.0,1.0
20,2459424.8192014,19.9556020832824,0.0811936065849877,r,21.0236832898551,2.0,1.0
21,2459425.7035069,19.8186685311084,0.0640267218286601,r,21.144651153964,2.0,1.0
22,2459425.7395023,19.897224637881,0.062110750814286,g,21.2561934790586,2.0,1.0
23,2459425.7895718,99.0,99.0,i,16.6236842883423,2.0,1.0
24,2459425.8651157,20.0866103566482,0.117066097555699,g,20.7574182926929,2.0,1.0
25,2459427.6985995,19.4842438769886,0.0497996218489086,r,21.0830645536363,2.0,1.0
26,2459427.757581,19.5585423762696,0.0430320155566933,g,21.3159489446672,2.0,1.0
27,2459427.7777431,19.602157864684,0.0474047270631641,g,21.2544895276973,2.0,1.0
28,2459427.8507986,19.4955022373513,0.0583708174358286,r,20.9218985882082,2.0,1.0
29,2459422.8745718,20.0900993347168,0.225225999951363,r,99.0,2.0,0.0
30,2459423.720787,20.2979564666748,0.186017766594887,g,99.0,2.0,0.0
31,2459423.7368519,20.0742149353027,0.187500953674316,r,99.0,2.0,0.0
32,2459423.7411343,20.1190338134766,0.192814126610756,r,99.0,1.0,0.0
33,2459423.8274653,20.2224998474121,0.282644003629684,g,99.0,1.0,0.0
34,2459423.8422106,19.482400894165,0.270886987447739,g,99.0,2.0,0.0
35,2459424.7491319,20.1523933410645,0.191431239247322,g,99.0,2.0,0.0
36,2459425.7035069,19.8570957183838,0.139988452196121,r,99.0,2.0,0.0
37,2459425.7395023,19.8713550567627,0.146602317690849,g,99.0,2.0,0.0
38,2459425.7553704,20.0994129180908,0.160847619175911,g,99.0,1.0,0.0
39,2459425.8651157,19.9608993530273,0.256669014692307,g,99.0,2.0,0.0
40,2459427.721875,19.4928226470947,0.110094889998436,r,99.0,1.0,0.0
41,2459427.757581,19.5384006500244,0.110581047832966,g,99.0,2.0,0.0
42,2459427.7768056,19.5916023254395,0.111621238291264,g,99.0,1.0,0.0
43,2459427.7777431,19.5920238494873,0.128763169050217,g,99.0,2.0,0.0
44,2459427.8507986,19.5546092987061,0.123140104115009,r,99.0,2.0,0.0
45,2459422.8745718,20.0900993347168,0.225225999951363,r,99.0,2.0,0.0
46,2459423.720787,20.2979564666748,0.186017766594887,g,99.0,2.0,0.0
47,2459423.7368519,20.0742149353027,0.187500953674316,r,99.0,2.0,0.0
48,2459423.7411343,20.1190338134766,0.192814126610756,r,99.0,1.0,0.0
49,2459423.8274653,20.2224998474121,0.282644003629684,g,99.0,1.0,0.0
