,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459418.7871181,99.0,99.0,i,19.4087868498475,2.0,1.0
4,2459422.8219907,99.0,99.0,i,20.0383801866124,2.0,1.0
10,2459425.7777083,99.0,99.0,i,18.88120123118,2.0,1.0
14,2459425.7203588,20.0231838226318,0.196710705757141,g,99.0,1.0,0.0
19,2459427.7014699,20.2850723266602,0.202963978052139,r,99.0,1.0,0.0
24,2459427.7014699,20.2850723266602,0.202963978052139,r,99.0,1.0,0.0
28,2459427.7014699,20.2850723266602,0.202963978052139,r,99.0,1.0,0.0
31,2459427.7014699,20.2850723266602,0.202963978052139,r,99.0,1.0,0.0
33,2459427.7014699,20.2850723266602,0.202963978052139,r,99.0,1.0,0.0
34,2459427.7014699,20.2850723266602,0.202963978052139,r,99.0,1.0,0.0
