,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459422.8436458,99.0,99.0,i,20.2907255983204,2.0,1.0
1,2459422.8680208,20.5676594873961,0.206856191808002,r,20.6203739636769,2.0,1.0
2,2459422.9723495,20.3665393022571,0.223910432621842,g,20.3332392686945,2.0,1.0
3,2459423.8993866,20.3006240755255,0.178886186413899,g,20.5110678504797,2.0,1.0
4,2459423.9463426,20.3254317148478,0.182568516551247,r,20.5137527870845,2.0,1.0
5,2459424.7805787,20.5281598778533,0.157088167475513,g,20.8796869833649,2.0,1.0
6,2459424.8282986,20.2820324864858,0.134329758528655,r,20.8034876904219,2.0,1.0
7,2459424.898669,20.5754005659123,0.147933195166239,r,20.9921222611216,2.0,1.0
8,2459424.9398958,20.4578435890121,0.155527527784228,g,20.8202112064854,2.0,1.0
9,2459425.828831,20.7431608665818,0.18080605357245,r,20.9420142381525,2.0,1.0
10,2459425.8439468,99.0,99.0,i,19.7327772767976,2.0,1.0
11,2459425.8749537,20.5234801747358,0.163853678008505,g,20.8292254778365,2.0,1.0
12,2459425.9334954,20.4278310280192,0.180456083457194,g,20.628787998637,2.0,1.0
13,2459425.9479398,99.0,99.0,r,19.0111295306163,2.0,1.0
14,2459426.8301389,20.5744330492086,0.119858714045765,g,21.2196448036103,2.0,1.0
15,2459426.8872222,20.392119792939,0.116414367432359,g,21.0689891254138,2.0,1.0
16,2459427.8395833,20.3137910941104,0.0807282889004437,r,21.3881125147819,2.0,1.0
17,2459427.8638194,20.6364724610293,0.124977778258641,g,21.2362762503521,2.0,1.0
18,2459427.9287616,20.1816083238781,0.0894528778576122,r,21.1445083200912,2.0,1.0
19,2459423.9463426,20.1975994110107,0.284613013267517,r,99.0,2.0,0.0
20,2459424.8018519,20.4234008789062,0.303027987480164,g,99.0,1.0,0.0
21,2459424.8282986,20.3572006225586,0.242984995245934,r,99.0,2.0,0.0
22,2459424.8633333,20.4654006958008,0.27310699224472,r,99.0,1.0,0.0
23,2459424.9398958,20.4626007080078,0.305175989866257,g,99.0,2.0,0.0
24,2459425.8749537,20.4561004638672,0.354373008012772,g,99.0,2.0,0.0
25,2459426.8301389,20.5499000549316,0.246974006295204,g,99.0,2.0,0.0
26,2459426.8611574,20.3370990753174,0.255825996398926,g,99.0,1.0,0.0
27,2459426.8872222,20.4631004333496,0.221452996134758,g,99.0,2.0,0.0
28,2459427.8395833,20.3071308135986,0.205764144659042,r,99.0,2.0,0.0
29,2459427.8638194,20.7374000549316,0.253789007663727,g,99.0,2.0,0.0
30,2459427.9287616,20.1966323852539,0.182175174355507,r,99.0,2.0,0.0
31,2459423.9463426,20.1975994110107,0.284613013267517,r,99.0,2.0,0.0
32,2459424.8018519,20.4234008789062,0.303027987480164,g,99.0,1.0,0.0
33,2459424.8633333,20.4654006958008,0.27310699224472,r,99.0,1.0,0.0
34,2459424.9398958,20.4626007080078,0.305175989866257,g,99.0,2.0,0.0
35,2459425.8749537,20.4561004638672,0.354373008012772,g,99.0,2.0,0.0
36,2459426.8301389,20.5499000549316,0.246974006295204,g,99.0,2.0,0.0
37,2459426.8611574,20.3370990753174,0.255825996398926,g,99.0,1.0,0.0
38,2459426.8872222,20.4631004333496,0.221452996134758,g,99.0,2.0,0.0
39,2459427.8395833,20.3071308135986,0.205764144659042,r,99.0,2.0,0.0
40,2459427.8638194,20.7374000549316,0.253789007663727,g,99.0,2.0,0.0
41,2459427.9287616,20.1966323852539,0.182175174355507,r,99.0,2.0,0.0
42,2459423.9463426,20.1975994110107,0.284613013267517,r,99.0,2.0,0.0
43,2459424.8018519,20.4234008789062,0.303027987480164,g,99.0,1.0,0.0
44,2459424.8633333,20.4654006958008,0.27310699224472,r,99.0,1.0,0.0
45,2459425.8749537,20.4561004638672,0.354373008012772,g,99.0,2.0,0.0
46,2459426.8301389,20.5499000549316,0.246974006295204,g,99.0,2.0,0.0
47,2459426.8611574,20.3370990753174,0.255825996398926,g,99.0,1.0,0.0
48,2459426.8872222,20.4631004333496,0.221452996134758,g,99.0,2.0,0.0
49,2459427.8395833,20.3071308135986,0.205764144659042,r,99.0,2.0,0.0
50,2459427.8638194,20.7374000549316,0.253789007663727,g,99.0,2.0,0.0
51,2459427.9287616,20.1966323852539,0.182175174355507,r,99.0,2.0,0.0
52,2459423.9463426,20.1975994110107,0.284613013267517,r,99.0,2.0,0.0
53,2459424.8018519,20.4234008789062,0.303027987480164,g,99.0,1.0,0.0
54,2459425.8749537,20.4561004638672,0.354373008012772,g,99.0,2.0,0.0
55,2459426.8301389,20.5499000549316,0.246974006295204,g,99.0,2.0,0.0
56,2459426.8611574,20.3370990753174,0.255825996398926,g,99.0,1.0,0.0
57,2459426.8872222,20.4631004333496,0.221452996134758,g,99.0,2.0,0.0
58,2459427.8395833,20.3071308135986,0.205764144659042,r,99.0,2.0,0.0
59,2459427.8638194,20.7374000549316,0.253789007663727,g,99.0,2.0,0.0
60,2459427.9287616,20.1966323852539,0.182175174355507,r,99.0,2.0,0.0
61,2459423.9463426,20.1975994110107,0.284613013267517,r,99.0,2.0,0.0
62,2459424.8018519,20.4234008789062,0.303027987480164,g,99.0,1.0,0.0
63,2459426.8301389,20.5499000549316,0.246974006295204,g,99.0,2.0,0.0
64,2459426.8611574,20.3370990753174,0.255825996398926,g,99.0,1.0,0.0
65,2459426.8872222,20.4631004333496,0.221452996134758,g,99.0,2.0,0.0
66,2459427.8395833,20.3071308135986,0.205764144659042,r,99.0,2.0,0.0
67,2459427.8638194,20.7374000549316,0.253789007663727,g,99.0,2.0,0.0
68,2459427.9287616,20.1966323852539,0.182175174355507,r,99.0,2.0,0.0
69,2459423.9463426,20.1975994110107,0.284613013267517,r,99.0,2.0,0.0
70,2459424.8018519,20.4234008789062,0.303027987480164,g,99.0,1.0,0.0
71,2459426.8611574,20.3370990753174,0.255825996398926,g,99.0,1.0,0.0
72,2459426.8872222,20.4631004333496,0.221452996134758,g,99.0,2.0,0.0
73,2459427.8395833,20.3071308135986,0.205764144659042,r,99.0,2.0,0.0
74,2459427.8638194,20.7374000549316,0.253789007663727,g,99.0,2.0,0.0
75,2459427.9287616,20.1966323852539,0.182175174355507,r,99.0,2.0,0.0
76,2459423.9463426,20.1975994110107,0.284613013267517,r,99.0,2.0,0.0
77,2459424.8018519,20.4234008789062,0.303027987480164,g,99.0,1.0,0.0
78,2459426.8872222,20.4631004333496,0.221452996134758,g,99.0,2.0,0.0
79,2459427.8395833,20.3071308135986,0.205764144659042,r,99.0,2.0,0.0
80,2459427.8638194,20.7374000549316,0.253789007663727,g,99.0,2.0,0.0
81,2459427.9287616,20.1966323852539,0.182175174355507,r,99.0,2.0,0.0
82,2459423.9463426,20.1975994110107,0.284613013267517,r,99.0,2.0,0.0
83,2459424.8018519,20.4234008789062,0.303027987480164,g,99.0,1.0,0.0
84,2459427.8395833,20.3071308135986,0.205764144659042,r,99.0,2.0,0.0
85,2459427.8638194,20.7374000549316,0.253789007663727,g,99.0,2.0,0.0
86,2459427.9287616,20.1966323852539,0.182175174355507,r,99.0,2.0,0.0
87,2459423.9463426,20.1975994110107,0.284613013267517,r,99.0,2.0,0.0
88,2459424.8018519,20.4234008789062,0.303027987480164,g,99.0,1.0,0.0
89,2459427.8638194,20.7374000549316,0.253789007663727,g,99.0,2.0,0.0
90,2459427.9287616,20.1966323852539,0.182175174355507,r,99.0,2.0,0.0
