,jd,mag,mag_unc,filter,limmag,programid,forced
1,2459419.9088426,99.0,99.0,g,19.0233333640001,2.0,1.0
5,2459423.8788657,19.8850448848317,0.192461775286741,g,20.0160694552919,2.0,1.0
8,2459423.9477546,99.0,99.0,r,19.1822962529839,2.0,1.0
12,2459424.8699653,19.7477265216251,0.0869790878151272,r,20.7410751888882,2.0,1.0
14,2459425.885463,19.9105010483812,0.107640917638062,g,20.6724433588103,2.0,1.0
18,2459426.8915394,19.7315592902256,0.0778273491127219,g,20.8456144839648,2.0,1.0
20,2459426.925081,19.6662144375385,0.0690300582760507,r,20.9105046265665,2.0,1.0
24,2459427.9354282,19.6065363820722,0.0590375825447859,r,21.020600756653,2.0,1.0
28,2459428.9104745,19.7831638728393,0.0617773943986923,r,21.1479756944311,2.0,1.0
30,2459428.958831,19.6986241400455,0.0706316273295706,g,20.9180118982141,2.0,1.0
31,2459424.8699653,19.7327785491943,0.135997802019119,r,99.0,2.0,0.0
34,2459425.885463,19.8641262054443,0.186835438013077,g,99.0,2.0,0.0
37,2459426.8501852,19.6882572174072,0.140648707747459,g,99.0,1.0,0.0
38,2459426.8915394,19.7355098724365,0.132929772138596,g,99.0,2.0,0.0
40,2459426.925081,19.6767196655273,0.14260470867157,r,99.0,2.0,0.0
43,2459427.9354282,19.5935802459717,0.126184716820717,r,99.0,2.0,0.0
47,2459428.8603704,19.5741519927979,0.165659666061401,r,99.0,1.0,0.0
48,2459428.9104745,19.7007808685303,0.118926852941513,r,99.0,2.0,0.0
50,2459428.958831,19.694429397583,0.12419468909502,g,99.0,2.0,0.0
51,2459424.8699653,19.7327785491943,0.135997802019119,r,99.0,2.0,0.0
56,2459426.8501852,19.6882572174072,0.140648707747459,g,99.0,1.0,0.0
57,2459426.8915394,19.7355098724365,0.132929772138596,g,99.0,2.0,0.0
59,2459426.925081,19.6767196655273,0.14260470867157,r,99.0,2.0,0.0
62,2459427.9354282,19.5935802459717,0.126184716820717,r,99.0,2.0,0.0
66,2459428.8603704,19.5741519927979,0.165659666061401,r,99.0,1.0,0.0
67,2459428.9104745,19.7007808685303,0.118926852941513,r,99.0,2.0,0.0
69,2459428.958831,19.694429397583,0.12419468909502,g,99.0,2.0,0.0
74,2459426.8501852,19.6882572174072,0.140648707747459,g,99.0,1.0,0.0
75,2459426.8915394,19.7355098724365,0.132929772138596,g,99.0,2.0,0.0
77,2459426.925081,19.6767196655273,0.14260470867157,r,99.0,2.0,0.0
80,2459427.9354282,19.5935802459717,0.126184716820717,r,99.0,2.0,0.0
84,2459428.8603704,19.5741519927979,0.165659666061401,r,99.0,1.0,0.0
85,2459428.9104745,19.7007808685303,0.118926852941513,r,99.0,2.0,0.0
87,2459428.958831,19.694429397583,0.12419468909502,g,99.0,2.0,0.0
91,2459426.8501852,19.6882572174072,0.140648707747459,g,99.0,1.0,0.0
92,2459426.8915394,19.7355098724365,0.132929772138596,g,99.0,2.0,0.0
94,2459426.925081,19.6767196655273,0.14260470867157,r,99.0,2.0,0.0
97,2459427.9354282,19.5935802459717,0.126184716820717,r,99.0,2.0,0.0
101,2459428.8603704,19.5741519927979,0.165659666061401,r,99.0,1.0,0.0
102,2459428.9104745,19.7007808685303,0.118926852941513,r,99.0,2.0,0.0
104,2459428.958831,19.694429397583,0.12419468909502,g,99.0,2.0,0.0
107,2459426.8501852,19.6882572174072,0.140648707747459,g,99.0,1.0,0.0
108,2459426.8915394,19.7355098724365,0.132929772138596,g,99.0,2.0,0.0
110,2459426.925081,19.6767196655273,0.14260470867157,r,99.0,2.0,0.0
113,2459427.9354282,19.5935802459717,0.126184716820717,r,99.0,2.0,0.0
117,2459428.8603704,19.5741519927979,0.165659666061401,r,99.0,1.0,0.0
118,2459428.9104745,19.7007808685303,0.118926852941513,r,99.0,2.0,0.0
