,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459425.8482176,99.0,99.0,i,20.0920120272241,2.0,1.0
9,2459429.8377315,20.3235112132228,0.140053194317117,i,20.7996644557866,2.0,1.0
14,2459428.9033449,20.1417999267578,0.166592001914978,r,99.0,1.0,0.0
16,2459428.9285301,20.8412990570068,0.356795996427536,g,99.0,1.0,0.0
20,2459428.9033449,20.1417999267578,0.166592001914978,r,99.0,1.0,0.0
22,2459428.9285301,20.8412990570068,0.356795996427536,g,99.0,1.0,0.0
25,2459428.9033449,20.1417999267578,0.166592001914978,r,99.0,1.0,0.0
27,2459428.9285301,20.8412990570068,0.356795996427536,g,99.0,1.0,0.0
31,2459428.9285301,20.8412990570068,0.356795996427536,g,99.0,1.0,0.0
34,2459428.9285301,20.8412990570068,0.356795996427536,g,99.0,1.0,0.0
