,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459426.8688657,14.3129587173462,0.0380143746733665,g,99.0,1,0.0
1,2459428.8296528,15.3634605407715,0.0278490148484707,g,99.0,1,0.0
2,2459428.870787,15.4834785461426,0.0336056612432003,r,99.0,1,0.0
3,2459430.8259838,15.9977073669434,0.0425982624292374,g,99.0,1,0.0
4,2459430.8490972,15.9835252761841,0.0295710135251284,r,99.0,1,0.0
5,2459426.8688657,14.3129587173462,0.0380143746733665,g,99.0,1,0.0
6,2459428.870787,15.4834785461426,0.0336056612432003,r,99.0,1,0.0
7,2459430.8259838,15.9977073669434,0.0425982624292374,g,99.0,1,0.0
8,2459430.8490972,15.9835252761841,0.0295710135251284,r,99.0,1,0.0
9,2459426.8688657,14.3129587173462,0.0380143746733665,g,99.0,1,0.0
10,2459430.8259838,15.9977073669434,0.0425982624292374,g,99.0,1,0.0
11,2459430.8490972,15.9835252761841,0.0295710135251284,r,99.0,1,0.0
12,2459426.8688657,14.3129587173462,0.0380143746733665,g,99.0,1,0.0
13,2459430.8490972,15.9835252761841,0.0295710135251284,r,99.0,1,0.0
14,2459426.8688657,14.3129587173462,0.0380143746733665,g,99.0,1,0.0
