,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459425.7857639,18.243411086978,0.199042073692054,i,18.3379346568926,2.0,1.0
2,2459428.7850347,20.0478504496022,0.164885561190388,i,20.3467796718972,2.0,1.0
3,2459428.7032523,20.3122081756592,0.216181606054306,r,99.0,1.0,0.0
4,2459428.7430903,20.7649002075195,0.31573098897934,g,99.0,1.0,0.0
5,2459428.7579167,20.7415008544922,0.31504100561142,g,99.0,1.0,0.0
6,2459430.7396065,20.3203659057617,0.187574431300163,r,99.0,1.0,0.0
7,2459428.7032523,20.3122081756592,0.216181606054306,r,99.0,1.0,0.0
8,2459428.7430903,20.7649002075195,0.31573098897934,g,99.0,1.0,0.0
9,2459428.7579167,20.7415008544922,0.31504100561142,g,99.0,1.0,0.0
10,2459428.7430903,20.7649002075195,0.31573098897934,g,99.0,1.0,0.0
11,2459428.7579167,20.7415008544922,0.31504100561142,g,99.0,1.0,0.0
12,2459428.7579167,20.7415008544922,0.31504100561142,g,99.0,1.0,0.0
