,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459435.9276273,17.6136361936643,0.0116463026373992,g,20.790051804337,2.0,1.0
1,2459435.9743056,16.568469052223,0.00684130256612163,r,20.3225078459973,2.0,1.0
2,2459434.8617708,16.3702983856201,0.0295976158231497,r,99.0,1.0,0.0
3,2459434.9306366,17.4978313446045,0.0385713279247284,g,99.0,1.0,0.0
4,2459435.9276273,17.6274604797363,0.0419382303953171,g,99.0,2.0,0.0
5,2459435.9743056,16.6515197753906,0.0302471127361059,r,99.0,2.0,0.0
6,2459436.8870486,17.4173774719238,0.0421711318194866,r,99.0,1.0,0.0
7,2459436.93,18.0083522796631,0.0614059045910835,g,99.0,1.0,0.0
8,2459434.8617708,16.3702983856201,0.0295976158231497,r,99.0,1.0,0.0
9,2459434.9306366,17.4978313446045,0.0385713279247284,g,99.0,1.0,0.0
10,2459435.9276273,17.6274604797363,0.0419382303953171,g,99.0,2.0,0.0
11,2459436.8870486,17.4173774719238,0.0421711318194866,r,99.0,1.0,0.0
12,2459436.93,18.0083522796631,0.0614059045910835,g,99.0,1.0,0.0
13,2459434.8617708,16.3702983856201,0.0295976158231497,r,99.0,1.0,0.0
14,2459434.9306366,17.4978313446045,0.0385713279247284,g,99.0,1.0,0.0
15,2459436.8870486,17.4173774719238,0.0421711318194866,r,99.0,1.0,0.0
16,2459436.93,18.0083522796631,0.0614059045910835,g,99.0,1.0,0.0
17,2459434.8617708,16.3702983856201,0.0295976158231497,r,99.0,1.0,0.0
18,2459436.8870486,17.4173774719238,0.0421711318194866,r,99.0,1.0,0.0
19,2459436.93,18.0083522796631,0.0614059045910835,g,99.0,1.0,0.0
20,2459434.8617708,16.3702983856201,0.0295976158231497,r,99.0,1.0,0.0
21,2459436.93,18.0083522796631,0.0614059045910835,g,99.0,1.0,0.0
22,2459434.8617708,16.3702983856201,0.0295976158231497,r,99.0,1.0,0.0
