,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459434.8592477,99.0,99.0,r,21.1972376816976,2.0,1.0
1,2459434.8938542,99.0,99.0,i,20.8351292064448,2.0,1.0
2,2459434.9378125,99.0,99.0,g,21.2575932156479,2.0,1.0
3,2459435.87125,21.4350416111214,0.266160688192155,r,21.2140676232488,2.0,1.0
4,2459435.891956,99.0,99.0,g,21.3113866140342,2.0,1.0
5,2459435.93625,18.8822699712746,0.0322074461368537,g,20.9542650374696,2.0,1.0
6,2459435.9777894,21.2428601403432,0.205152768746412,r,21.304552472958,2.0,1.0
7,2459436.8451736,99.0,99.0,g,21.1382168605534,2.0,1.0
8,2459436.862581,99.0,99.0,r,20.9673635829733,2.0,1.0
9,2459436.8832176,21.2683993360073,0.22707774857438,r,21.219848675996,2.0,1.0
10,2459438.8427199,19.4633426321243,0.1239145801914,r,20.0724223965159,2.0,1.0
11,2459438.8916551,20.9683012224893,0.207652784975511,g,21.0168426113071,2.0,1.0
12,2459438.937662,20.8415136791299,0.214878804861216,i,20.8529155186711,2.0,1.0
13,2459438.9412847,20.9571451293751,0.169330276879613,g,21.2271943721882,2.0,1.0
14,2459438.965081,21.1426110124421,0.225058967462481,r,21.1037559963845,2.0,1.0
15,2459439.8747801,20.7586257080711,0.178313400481466,r,20.9725515416853,2.0,1.0
16,2459439.9613889,20.5583200653419,0.139769851460808,r,21.0366720953696,2.0,1.0
17,2459440.8942708,20.2242801543394,0.0937382053459897,r,21.1363743571087,2.0,1.0
18,2459440.9153472,20.4777184883911,0.17749431707686,g,20.6966431460001,2.0,1.0
19,2459440.9623264,20.4681050969999,0.132390461177905,r,21.0053491485405,2.0,1.0
20,2459441.7783912,99.0,99.0,g,19.1484078606481,2.0,1.0
21,2459439.8916667,20.5804004669189,0.31156599521637,r,99.0,1.0,0.0
22,2459439.9613889,20.5524997711182,0.258675992488861,r,99.0,2.0,0.0
23,2459440.8942708,20.2921009063721,0.251049011945724,r,99.0,2.0,0.0
24,2459440.9153472,20.5252990722656,0.285778999328613,g,99.0,2.0,0.0
25,2459440.9623264,20.4430141448975,0.212346360087395,r,99.0,2.0,0.0
26,2459442.8284144,20.2039833068848,0.193110153079033,g,99.0,1.0,0.0
27,2459439.8916667,20.5804004669189,0.31156599521637,r,99.0,1.0,0.0
28,2459440.8942708,20.2921009063721,0.251049011945724,r,99.0,2.0,0.0
29,2459440.9153472,20.5252990722656,0.285778999328613,g,99.0,2.0,0.0
30,2459440.9623264,20.4430141448975,0.212346360087395,r,99.0,2.0,0.0
31,2459442.8284144,20.2039833068848,0.193110153079033,g,99.0,1.0,0.0
32,2459439.8916667,20.5804004669189,0.31156599521637,r,99.0,1.0,0.0
33,2459440.9153472,20.5252990722656,0.285778999328613,g,99.0,2.0,0.0
34,2459440.9623264,20.4430141448975,0.212346360087395,r,99.0,2.0,0.0
35,2459442.8284144,20.2039833068848,0.193110153079033,g,99.0,1.0,0.0
36,2459439.8916667,20.5804004669189,0.31156599521637,r,99.0,1.0,0.0
37,2459440.9623264,20.4430141448975,0.212346360087395,r,99.0,2.0,0.0
38,2459442.8284144,20.2039833068848,0.193110153079033,g,99.0,1.0,0.0
39,2459440.9623264,20.4430141448975,0.212346360087395,r,99.0,2.0,0.0
40,2459442.8284144,20.2039833068848,0.193110153079033,g,99.0,1.0,0.0
41,2459442.8284144,20.2039833068848,0.193110153079033,g,99.0,1.0,0.0
