,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459434.7707292,99.0,99.0,g,21.3599640757551,2.0,1.0
1,2459434.8573611,99.0,99.0,r,21.4293335875075,2.0,1.0
2,2459434.881331,99.0,99.0,i,20.7846449254545,2.0,1.0
3,2459434.9226852,99.0,99.0,g,21.8229382623165,2.0,1.0
4,2459435.8736111,99.0,99.0,r,21.4638364347458,2.0,1.0
5,2459435.8933912,99.0,99.0,g,21.4511868891795,2.0,1.0
6,2459435.9212963,99.0,99.0,g,21.6216139108257,2.0,1.0
7,2459436.843287,99.0,99.0,g,21.4252292389619,2.0,1.0
8,2459436.8606944,99.0,99.0,r,21.4202402212123,2.0,1.0
9,2459438.8408333,16.9299830001135,0.128165837404509,r,17.5024380905983,2.0,1.0
10,2459438.8579861,99.0,99.0,g,21.3388058733625,2.0,1.0
11,2459438.8978588,99.0,99.0,g,21.501772911849,2.0,1.0
12,2459438.9221644,99.0,99.0,i,20.5416500264019,2.0,1.0
13,2459439.8797222,99.0,99.0,r,21.2742948384021,2.0,1.0
14,2459439.9348148,99.0,99.0,g,21.327530035033,2.0,1.0
15,2459440.7792708,99.0,99.0,g,21.2498481853079,2.0,1.0
16,2459440.8040046,99.0,99.0,r,21.2672011868252,2.0,1.0
17,2459440.8833565,18.6243128043114,0.0372126520061205,r,20.539472039245,2.0,1.0
18,2459440.9288079,99.0,99.0,g,17.5468939468267,2.0,1.0
19,2459441.7760417,99.0,99.0,g,17.717117728467,2.0,1.0
20,2459442.7628819,99.0,99.0,i,20.4005353107719,2.0,1.0
21,2459442.8123264,99.0,99.0,g,21.0047310474674,2.0,1.0
22,2459442.8177662,99.0,99.0,g,21.252270096454,2.0,1.0
23,2459442.838287,99.0,99.0,r,21.3723796831381,2.0,1.0
24,2459442.937581,99.0,99.0,r,21.148170317267,2.0,1.0
25,2459443.811088,99.0,99.0,r,20.994466934302,2.0,1.0
26,2459443.8320139,99.0,99.0,g,21.3125602278976,2.0,1.0
27,2459443.8383333,99.0,99.0,g,21.3552324975601,2.0,1.0
28,2459443.9783796,99.0,99.0,r,20.9205006300979,2.0,1.0
29,2459444.7599769,99.0,99.0,r,20.1503559399716,2.0,1.0
30,2459444.7804861,99.0,99.0,r,20.5010647010957,2.0,1.0
31,2459444.9321759,99.0,99.0,g,21.1580569097244,2.0,1.0
32,2459438.8408333,16.8471546173096,0.20593373477459,r,99.0,2.0,0.0
