,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459443.9627894,20.7418609585784,0.213838876045586,r,20.7585300900008,2.0,1.0
1,2459446.9003472,99.0,99.0,r,16.3434130697078,2.0,1.0
2,2459446.9385532,20.3692491809004,0.231497554332182,g,20.2997689518623,2.0,1.0
3,2459449.8928472,99.0,99.0,r,18.826561460353,2.0,1.0
4,2459449.9247222,99.0,99.0,g,18.9735996859861,2.0,1.0
5,2459449.9596759,99.0,99.0,g,19.2711153784528,2.0,1.0
6,2459436.9407523,20.8586006164551,0.31555300951004,g,99.0,1.0,0.0
7,2459439.9423843,20.6520004272461,0.450051009654999,g,99.0,1.0,0.0
8,2459442.9579398,20.31276512146,0.2109145373106,r,99.0,1.0,0.0
9,2459439.9423843,20.6520004272461,0.450051009654999,g,99.0,1.0,0.0
10,2459442.9579398,20.31276512146,0.2109145373106,r,99.0,1.0,0.0
11,2459442.9579398,20.31276512146,0.2109145373106,r,99.0,1.0,0.0
