,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459448.8104514,19.4122009277344,0.211850002408028,r,99.0,1,0.0
1,2459448.838044,19.6627006530762,0.310597985982895,g,99.0,1,0.0
2,2459449.8235648,19.3592891693115,0.165370106697083,r,99.0,1,0.0
3,2459450.9226852,19.0622005462646,0.218841999769211,g,99.0,1,0.0
4,2459451.7270833,19.2272605895996,0.18393187224865,g,99.0,1,0.0
5,2459453.7263773,18.9739723205566,0.0834993794560432,g,99.0,1,0.0
6,2459453.7863079,19.0064449310303,0.089698351919651,r,99.0,1,0.0
7,2459453.8865278,19.067813873291,0.0958115607500076,g,99.0,1,0.0
8,2459448.8104514,19.4122009277344,0.211850002408028,r,99.0,1,0.0
9,2459448.838044,19.6627006530762,0.310597985982895,g,99.0,1,0.0
10,2459449.8235648,19.3592891693115,0.165370106697083,r,99.0,1,0.0
11,2459450.9226852,19.0622005462646,0.218841999769211,g,99.0,1,0.0
12,2459451.7270833,19.2272605895996,0.18393187224865,g,99.0,1,0.0
13,2459453.7263773,18.9739723205566,0.0834993794560432,g,99.0,1,0.0
14,2459453.7863079,19.0064449310303,0.089698351919651,r,99.0,1,0.0
15,2459448.8104514,19.4122009277344,0.211850002408028,r,99.0,1,0.0
16,2459449.8235648,19.3592891693115,0.165370106697083,r,99.0,1,0.0
17,2459450.9226852,19.0622005462646,0.218841999769211,g,99.0,1,0.0
18,2459451.7270833,19.2272605895996,0.18393187224865,g,99.0,1,0.0
19,2459453.7263773,18.9739723205566,0.0834993794560432,g,99.0,1,0.0
20,2459453.7863079,19.0064449310303,0.089698351919651,r,99.0,1,0.0
21,2459449.8235648,19.3592891693115,0.165370106697083,r,99.0,1,0.0
22,2459450.9226852,19.0622005462646,0.218841999769211,g,99.0,1,0.0
23,2459451.7270833,19.2272605895996,0.18393187224865,g,99.0,1,0.0
24,2459453.7263773,18.9739723205566,0.0834993794560432,g,99.0,1,0.0
25,2459453.7863079,19.0064449310303,0.089698351919651,r,99.0,1,0.0
26,2459450.9226852,19.0622005462646,0.218841999769211,g,99.0,1,0.0
27,2459451.7270833,19.2272605895996,0.18393187224865,g,99.0,1,0.0
28,2459453.7263773,18.9739723205566,0.0834993794560432,g,99.0,1,0.0
29,2459453.7863079,19.0064449310303,0.089698351919651,r,99.0,1,0.0
30,2459451.7270833,19.2272605895996,0.18393187224865,g,99.0,1,0.0
31,2459453.7263773,18.9739723205566,0.0834993794560432,g,99.0,1,0.0
32,2459453.7863079,19.0064449310303,0.089698351919651,r,99.0,1,0.0
33,2459453.7263773,18.9739723205566,0.0834993794560432,g,99.0,1,0.0
34,2459453.7863079,19.0064449310303,0.089698351919651,r,99.0,1,0.0
35,2459453.7863079,19.0064449310303,0.089698351919651,r,99.0,1,0.0
