,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459446.8151505,99.0,99.0,i,19.9707259389018,2.0,1.0
1,2459446.9489236,99.0,99.0,g,20.6568760733319,2.0,1.0
2,2459449.799375,20.0746665233957,0.22228379253559,i,20.0492828175588,2.0,1.0
3,2459449.9791782,99.0,99.0,g,18.6281692949742,2.0,1.0
4,2459450.8574653,99.0,99.0,r,19.48734760459,2.0,1.0
5,2459451.776713,19.7092329456634,0.116882015412846,r,20.3817495057775,2.0,1.0
6,2459451.8371991,20.346277809426,0.235319689000673,r,20.2590179341407,2.0,1.0
7,2459452.7680787,19.7278384646914,0.0774507744156128,r,20.84715984242,2.0,1.0
8,2459452.8123727,19.6210154387775,0.0874085277325422,g,20.6090167147463,2.0,1.0
9,2459452.9278356,99.0,99.0,r,17.8070881288881,2.0,1.0
10,2459452.9816551,19.5327395889291,0.123578910362469,g,20.1447644740895,2.0,1.0
11,2459453.7187963,19.4203732576247,0.0491304305567369,g,21.0338826214393,2.0,1.0
12,2459453.7390509,19.6476921222371,0.104018910963164,i,20.4467971549004,2.0,1.0
13,2459453.7809375,19.5429917758481,0.0532926789734428,r,21.0682086840154,2.0,1.0
14,2459453.8275347,19.620206884085,0.0553203472033517,r,21.1048804302292,2.0,1.0
15,2459453.8840394,19.5119722271614,0.0606987226788874,g,20.895909136149,2.0,1.0
16,2459451.7776505,19.8635997772217,0.24821600317955,r,99.0,1.0,0.0
17,2459452.7680787,19.7192249298096,0.143379434943199,r,99.0,2.0,0.0
18,2459453.7178588,19.4161186218262,0.116903610527515,g,99.0,1.0,0.0
19,2459453.7187963,19.4202308654785,0.103501781821251,g,99.0,2.0,0.0
20,2459453.7390509,19.5666675567627,0.172700598835945,i,99.0,2.0,0.0
21,2459453.7809375,19.5835494995117,0.118496485054493,r,99.0,2.0,0.0
22,2459453.781875,19.6482791900635,0.155385255813599,r,99.0,1.0,0.0
23,2459453.8275347,19.5623245239258,0.109820574522018,r,99.0,2.0,0.0
24,2459453.8840394,19.5141201019287,0.120454967021942,g,99.0,2.0,0.0
25,2459451.7776505,19.8635997772217,0.24821600317955,r,99.0,1.0,0.0
26,2459452.7680787,19.7192249298096,0.143379434943199,r,99.0,2.0,0.0
27,2459453.7187963,19.4202308654785,0.103501781821251,g,99.0,2.0,0.0
28,2459453.7390509,19.5666675567627,0.172700598835945,i,99.0,2.0,0.0
29,2459453.7809375,19.5835494995117,0.118496485054493,r,99.0,2.0,0.0
30,2459453.781875,19.6482791900635,0.155385255813599,r,99.0,1.0,0.0
31,2459453.8275347,19.5623245239258,0.109820574522018,r,99.0,2.0,0.0
32,2459453.8840394,19.5141201019287,0.120454967021942,g,99.0,2.0,0.0
33,2459451.7776505,19.8635997772217,0.24821600317955,r,99.0,1.0,0.0
34,2459452.7680787,19.7192249298096,0.143379434943199,r,99.0,2.0,0.0
35,2459453.7187963,19.4202308654785,0.103501781821251,g,99.0,2.0,0.0
36,2459453.7809375,19.5835494995117,0.118496485054493,r,99.0,2.0,0.0
37,2459453.781875,19.6482791900635,0.155385255813599,r,99.0,1.0,0.0
38,2459453.8275347,19.5623245239258,0.109820574522018,r,99.0,2.0,0.0
39,2459453.8840394,19.5141201019287,0.120454967021942,g,99.0,2.0,0.0
40,2459451.7776505,19.8635997772217,0.24821600317955,r,99.0,1.0,0.0
41,2459452.7680787,19.7192249298096,0.143379434943199,r,99.0,2.0,0.0
42,2459453.7187963,19.4202308654785,0.103501781821251,g,99.0,2.0,0.0
43,2459453.781875,19.6482791900635,0.155385255813599,r,99.0,1.0,0.0
44,2459453.8275347,19.5623245239258,0.109820574522018,r,99.0,2.0,0.0
45,2459453.8840394,19.5141201019287,0.120454967021942,g,99.0,2.0,0.0
46,2459451.7776505,19.8635997772217,0.24821600317955,r,99.0,1.0,0.0
47,2459452.7680787,19.7192249298096,0.143379434943199,r,99.0,2.0,0.0
48,2459453.7187963,19.4202308654785,0.103501781821251,g,99.0,2.0,0.0
49,2459453.8275347,19.5623245239258,0.109820574522018,r,99.0,2.0,0.0
50,2459453.8840394,19.5141201019287,0.120454967021942,g,99.0,2.0,0.0
51,2459451.7776505,19.8635997772217,0.24821600317955,r,99.0,1.0,0.0
52,2459452.7680787,19.7192249298096,0.143379434943199,r,99.0,2.0,0.0
53,2459453.7187963,19.4202308654785,0.103501781821251,g,99.0,2.0,0.0
54,2459453.8840394,19.5141201019287,0.120454967021942,g,99.0,2.0,0.0
55,2459451.7776505,19.8635997772217,0.24821600317955,r,99.0,1.0,0.0
56,2459452.7680787,19.7192249298096,0.143379434943199,r,99.0,2.0,0.0
57,2459453.7187963,19.4202308654785,0.103501781821251,g,99.0,2.0,0.0
58,2459452.7680787,19.7192249298096,0.143379434943199,r,99.0,2.0,0.0
59,2459453.7187963,19.4202308654785,0.103501781821251,g,99.0,2.0,0.0
60,2459453.7187963,19.4202308654785,0.103501781821251,g,99.0,2.0,0.0
