,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459447.7086111,99.0,99.0,r,20.2038550234087,2.0,1.0
1,2459448.6633333,20.0335132082719,0.17745588550698,g,20.252672977999,2.0,1.0
2,2459448.6943287,20.3135936045607,0.246741103637472,g,20.1748756363041,2.0,1.0
3,2459448.714294,20.0877695761382,0.197874008026817,r,20.1886834885044,2.0,1.0
4,2459449.6694097,20.0741664125735,0.140217094103507,r,20.549049795579,2.0,1.0
5,2459449.6911921,20.0843162637591,0.173938674030828,g,20.3252116652558,2.0,1.0
6,2459449.7882407,99.0,99.0,i,19.817145345364,2.0,1.0
7,2459450.6938889,20.2422054333436,0.215594765706212,g,20.2499956907552,2.0,1.0
8,2459450.7651273,99.0,99.0,g,19.2720996059633,2.0,1.0
9,2459450.7968171,99.0,99.0,r,19.0847018055335,2.0,1.0
10,2459451.6592593,20.224878871084,0.0801648434143466,r,21.3068047886748,2.0,1.0
11,2459451.6918171,19.9955478538662,0.116927940136753,g,20.6676378954775,2.0,1.0
12,2459451.6927546,19.9880534488421,0.10889028422186,g,20.7374664094594,2.0,1.0
13,2459451.7528819,20.2586063842052,0.261734840550025,g,20.0558383304769,2.0,1.0
14,2459451.7891319,20.1561845367204,0.253757229712556,r,19.9870242647201,2.0,1.0
15,2459452.6948611,20.4051088789663,0.134110189426116,r,20.928340228212,2.0,1.0
16,2459452.7610417,19.8620806897123,0.130700268414586,r,20.4132752801114,2.0,1.0
17,2459452.7776505,19.675578402764,0.153445377858839,g,20.0525796644101,2.0,1.0
18,2459453.6562847,20.3636282562098,0.0888204913271691,r,21.3342311172374,2.0,1.0
19,2459453.6572222,20.2014802592624,0.0750854437052179,r,21.3544766695995,2.0,1.0
20,2459453.689537,20.1989539985311,0.0718916201296745,g,21.399144110467,2.0,1.0
21,2459452.7776505,19.7485008239746,0.232749000191689,g,99.0,2.0,0.0
22,2459453.6562847,20.2909297943115,0.207744345068932,r,99.0,2.0,0.0
23,2459453.6572222,20.25998878479,0.155825510621071,r,99.0,2.0,0.0
24,2459452.7776505,19.7485008239746,0.232749000191689,g,99.0,2.0,0.0
25,2459453.6562847,20.2909297943115,0.207744345068932,r,99.0,2.0,0.0
26,2459453.6562847,20.2909297943115,0.207744345068932,r,99.0,2.0,0.0
