,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459448.7794676,99.0,99.0,r,19.6820955825293,2.0,1.0
2,2459450.7457755,18.9716873168945,0.164392754435539,g,99.0,1.0,0.0
3,2459450.7899421,19.0562000274658,0.227895006537437,r,99.0,1.0,0.0
4,2459452.7268981,19.61549949646,0.157904997467995,r,99.0,1.0,0.0
5,2459452.7904282,19.7439765930176,0.190893843770027,g,99.0,1.0,0.0
6,2459454.7257292,20.3330993652344,0.217929005622864,g,99.0,1.0,0.0
7,2459454.7790394,19.8569087982178,0.17490042746067,r,99.0,1.0,0.0
8,2459450.7457755,18.9716873168945,0.164392754435539,g,99.0,1.0,0.0
9,2459452.7268981,19.61549949646,0.157904997467995,r,99.0,1.0,0.0
10,2459452.7904282,19.7439765930176,0.190893843770027,g,99.0,1.0,0.0
11,2459454.7257292,20.3330993652344,0.217929005622864,g,99.0,1.0,0.0
12,2459454.7790394,19.8569087982178,0.17490042746067,r,99.0,1.0,0.0
13,2459450.7457755,18.9716873168945,0.164392754435539,g,99.0,1.0,0.0
14,2459452.7268981,19.61549949646,0.157904997467995,r,99.0,1.0,0.0
15,2459452.7904282,19.7439765930176,0.190893843770027,g,99.0,1.0,0.0
16,2459454.7257292,20.3330993652344,0.217929005622864,g,99.0,1.0,0.0
17,2459452.7268981,19.61549949646,0.157904997467995,r,99.0,1.0,0.0
18,2459452.7904282,19.7439765930176,0.190893843770027,g,99.0,1.0,0.0
19,2459454.7257292,20.3330993652344,0.217929005622864,g,99.0,1.0,0.0
20,2459452.7268981,19.61549949646,0.157904997467995,r,99.0,1.0,0.0
21,2459454.7257292,20.3330993652344,0.217929005622864,g,99.0,1.0,0.0
22,2459452.7268981,19.61549949646,0.157904997467995,r,99.0,1.0,0.0
