,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459452.7191898,19.3536834716797,0.0959294363856316,r,99.0,1,0.0
1,2459452.8052778,19.0881977081299,0.100764840841293,g,99.0,1,0.0
2,2459454.7146875,19.710111618042,0.136287361383438,g,99.0,1,0.0
3,2459454.7621875,19.6650161743164,0.105635426938534,r,99.0,1,0.0
4,2459452.7191898,19.3536834716797,0.0959294363856316,r,99.0,1,0.0
5,2459452.8052778,19.0881977081299,0.100764840841293,g,99.0,1,0.0
6,2459454.7146875,19.710111618042,0.136287361383438,g,99.0,1,0.0
7,2459452.8052778,19.0881977081299,0.100764840841293,g,99.0,1,0.0
8,2459454.7146875,19.710111618042,0.136287361383438,g,99.0,1,0.0
9,2459454.7146875,19.710111618042,0.136287361383438,g,99.0,1,0.0
