,jd,mag,mag_unc,filter,limmag,programid,forced
16,2459459.8508912,20.87380027771,0.331961989402771,g,99.0,1.0,0.0
18,2459459.8915741,20.9691009521484,0.272695004940033,r,99.0,1.0,0.0
22,2459461.8785185,20.8784008026123,0.308012992143631,r,99.0,1.0,0.0
24,2459461.9161458,20.6907997131348,0.291269987821579,g,99.0,1.0,0.0
31,2459459.8915741,20.9691009521484,0.272695004940033,r,99.0,1.0,0.0
35,2459461.8785185,20.8784008026123,0.308012992143631,r,99.0,1.0,0.0
37,2459461.9161458,20.6907997131348,0.291269987821579,g,99.0,1.0,0.0
43,2459459.8915741,20.9691009521484,0.272695004940033,r,99.0,1.0,0.0
47,2459461.8785185,20.8784008026123,0.308012992143631,r,99.0,1.0,0.0
49,2459461.9161458,20.6907997131348,0.291269987821579,g,99.0,1.0,0.0
54,2459459.8915741,20.9691009521484,0.272695004940033,r,99.0,1.0,0.0
58,2459461.8785185,20.8784008026123,0.308012992143631,r,99.0,1.0,0.0
60,2459461.9161458,20.6907997131348,0.291269987821579,g,99.0,1.0,0.0
68,2459461.8785185,20.8784008026123,0.308012992143631,r,99.0,1.0,0.0
70,2459461.9161458,20.6907997131348,0.291269987821579,g,99.0,1.0,0.0
77,2459461.8785185,20.8784008026123,0.308012992143631,r,99.0,1.0,0.0
79,2459461.9161458,20.6907997131348,0.291269987821579,g,99.0,1.0,0.0
85,2459461.8785185,20.8784008026123,0.308012992143631,r,99.0,1.0,0.0
87,2459461.9161458,20.6907997131348,0.291269987821579,g,99.0,1.0,0.0
92,2459461.8785185,20.8784008026123,0.308012992143631,r,99.0,1.0,0.0
94,2459461.9161458,20.6907997131348,0.291269987821579,g,99.0,1.0,0.0
100,2459461.9161458,20.6907997131348,0.291269987821579,g,99.0,1.0,0.0
105,2459461.9161458,20.6907997131348,0.291269987821579,g,99.0,1.0,0.0
