,jd,mag,mag_unc,filter,limmag,programid,forced
2,2459458.8274537,99.0,99.0,i,20.3281125880453,2.0,1.0
8,2459461.8334028,20.6714923395198,0.237600364229938,i,20.5737603734556,2.0,1.0
15,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
16,2459458.8397569,20.8901996612549,0.320879012346268,r,99.0,1.0,0.0
20,2459460.8514468,20.8180999755859,0.314933001995087,r,99.0,1.0,0.0
22,2459460.8920486,20.8941993713379,0.313840985298157,g,99.0,1.0,0.0
26,2459462.8170718,20.6147003173828,0.278158992528915,g,99.0,1.0,0.0
28,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
29,2459458.8397569,20.8901996612549,0.320879012346268,r,99.0,1.0,0.0
32,2459460.8514468,20.8180999755859,0.314933001995087,r,99.0,1.0,0.0
34,2459460.8920486,20.8941993713379,0.313840985298157,g,99.0,1.0,0.0
38,2459462.8170718,20.6147003173828,0.278158992528915,g,99.0,1.0,0.0
40,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
41,2459458.8397569,20.8901996612549,0.320879012346268,r,99.0,1.0,0.0
43,2459460.8514468,20.8180999755859,0.314933001995087,r,99.0,1.0,0.0
45,2459460.8920486,20.8941993713379,0.313840985298157,g,99.0,1.0,0.0
49,2459462.8170718,20.6147003173828,0.278158992528915,g,99.0,1.0,0.0
51,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
52,2459458.8397569,20.8901996612549,0.320879012346268,r,99.0,1.0,0.0
53,2459460.8514468,20.8180999755859,0.314933001995087,r,99.0,1.0,0.0
55,2459460.8920486,20.8941993713379,0.313840985298157,g,99.0,1.0,0.0
59,2459462.8170718,20.6147003173828,0.278158992528915,g,99.0,1.0,0.0
61,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
62,2459460.8514468,20.8180999755859,0.314933001995087,r,99.0,1.0,0.0
64,2459460.8920486,20.8941993713379,0.313840985298157,g,99.0,1.0,0.0
68,2459462.8170718,20.6147003173828,0.278158992528915,g,99.0,1.0,0.0
70,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
72,2459460.8920486,20.8941993713379,0.313840985298157,g,99.0,1.0,0.0
76,2459462.8170718,20.6147003173828,0.278158992528915,g,99.0,1.0,0.0
78,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
79,2459460.8920486,20.8941993713379,0.313840985298157,g,99.0,1.0,0.0
83,2459462.8170718,20.6147003173828,0.278158992528915,g,99.0,1.0,0.0
85,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
89,2459462.8170718,20.6147003173828,0.278158992528915,g,99.0,1.0,0.0
91,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
94,2459462.8170718,20.6147003173828,0.278158992528915,g,99.0,1.0,0.0
96,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
98,2459462.8170718,20.6147003173828,0.278158992528915,g,99.0,1.0,0.0
100,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
101,2459462.8170718,20.6147003173828,0.278158992528915,g,99.0,1.0,0.0
103,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
105,2459458.7868056,20.8904991149902,0.344204008579254,g,99.0,1.0,0.0
