,jd,mag,mag_unc,filter,limmag,programid,forced
1,2459459.9048032,20.8329922314885,0.227411550021534,i,20.7828467247662,2.0,1.0
8,2459462.9486574,99.0,99.0,i,20.9207319341717,2.0,1.0
14,2459459.8812269,20.7198371887207,0.205285131931305,r,99.0,1.0,0.0
18,2459461.9325347,20.7455997467041,0.26680999994278,g,99.0,1.0,0.0
22,2459463.9009259,20.676399230957,0.22189199924469,r,99.0,1.0,0.0
24,2459459.8812269,20.7198371887207,0.205285131931305,r,99.0,1.0,0.0
27,2459461.9325347,20.7455997467041,0.26680999994278,g,99.0,1.0,0.0
31,2459463.9009259,20.676399230957,0.22189199924469,r,99.0,1.0,0.0
33,2459459.8812269,20.7198371887207,0.205285131931305,r,99.0,1.0,0.0
35,2459461.9325347,20.7455997467041,0.26680999994278,g,99.0,1.0,0.0
39,2459463.9009259,20.676399230957,0.22189199924469,r,99.0,1.0,0.0
41,2459459.8812269,20.7198371887207,0.205285131931305,r,99.0,1.0,0.0
46,2459463.9009259,20.676399230957,0.22189199924469,r,99.0,1.0,0.0
48,2459459.8812269,20.7198371887207,0.205285131931305,r,99.0,1.0,0.0
52,2459463.9009259,20.676399230957,0.22189199924469,r,99.0,1.0,0.0
54,2459459.8812269,20.7198371887207,0.205285131931305,r,99.0,1.0,0.0
57,2459463.9009259,20.676399230957,0.22189199924469,r,99.0,1.0,0.0
59,2459459.8812269,20.7198371887207,0.205285131931305,r,99.0,1.0,0.0
61,2459463.9009259,20.676399230957,0.22189199924469,r,99.0,1.0,0.0
63,2459459.8812269,20.7198371887207,0.205285131931305,r,99.0,1.0,0.0
64,2459463.9009259,20.676399230957,0.22189199924469,r,99.0,1.0,0.0
66,2459459.8812269,20.7198371887207,0.205285131931305,r,99.0,1.0,0.0
68,2459459.8812269,20.7198371887207,0.205285131931305,r,99.0,1.0,0.0
