,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459460.0077662,19.8040428161621,0.184673056006432,r,99.0,1,0.0
1,2459460.0101273,19.7668991088867,0.186958000063896,r,99.0,1,0.0
2,2459460.0125,19.7914161682129,0.197161555290222,r,99.0,1,0.0
3,2459460.0148611,19.8054008483887,0.250014990568161,r,99.0,1,0.0
4,2459461.0174653,19.6896991729736,0.269854992628098,r,99.0,1,0.0
5,2459462.0092361,19.9021701812744,0.204455509781837,r,99.0,1,0.0
6,2459462.0116667,19.8322353363037,0.176882103085518,r,99.0,1,0.0
7,2459462.0140856,20.1490993499756,0.276279985904694,r,99.0,1,0.0
8,2459462.0189468,19.4612007141113,0.222350001335144,r,99.0,1,0.0
9,2459463.0132523,19.8265991210938,0.251612991094589,r,99.0,1,0.0
10,2459463.0156829,19.7092914581299,0.209287390112877,r,99.0,1,0.0
11,2459460.0101273,19.7668991088867,0.186958000063896,r,99.0,1,0.0
12,2459460.0125,19.7914161682129,0.197161555290222,r,99.0,1,0.0
13,2459460.0148611,19.8054008483887,0.250014990568161,r,99.0,1,0.0
14,2459461.0174653,19.6896991729736,0.269854992628098,r,99.0,1,0.0
15,2459462.0092361,19.9021701812744,0.204455509781837,r,99.0,1,0.0
16,2459462.0116667,19.8322353363037,0.176882103085518,r,99.0,1,0.0
17,2459462.0140856,20.1490993499756,0.276279985904694,r,99.0,1,0.0
18,2459462.0189468,19.4612007141113,0.222350001335144,r,99.0,1,0.0
19,2459463.0132523,19.8265991210938,0.251612991094589,r,99.0,1,0.0
20,2459463.0156829,19.7092914581299,0.209287390112877,r,99.0,1,0.0
21,2459460.0101273,19.7668991088867,0.186958000063896,r,99.0,1,0.0
22,2459460.0148611,19.8054008483887,0.250014990568161,r,99.0,1,0.0
23,2459461.0174653,19.6896991729736,0.269854992628098,r,99.0,1,0.0
24,2459462.0092361,19.9021701812744,0.204455509781837,r,99.0,1,0.0
25,2459462.0116667,19.8322353363037,0.176882103085518,r,99.0,1,0.0
26,2459462.0140856,20.1490993499756,0.276279985904694,r,99.0,1,0.0
27,2459462.0189468,19.4612007141113,0.222350001335144,r,99.0,1,0.0
28,2459463.0132523,19.8265991210938,0.251612991094589,r,99.0,1,0.0
29,2459463.0156829,19.7092914581299,0.209287390112877,r,99.0,1,0.0
30,2459460.0101273,19.7668991088867,0.186958000063896,r,99.0,1,0.0
31,2459460.0148611,19.8054008483887,0.250014990568161,r,99.0,1,0.0
32,2459462.0092361,19.9021701812744,0.204455509781837,r,99.0,1,0.0
33,2459462.0116667,19.8322353363037,0.176882103085518,r,99.0,1,0.0
34,2459462.0140856,20.1490993499756,0.276279985904694,r,99.0,1,0.0
35,2459462.0189468,19.4612007141113,0.222350001335144,r,99.0,1,0.0
36,2459463.0132523,19.8265991210938,0.251612991094589,r,99.0,1,0.0
37,2459463.0156829,19.7092914581299,0.209287390112877,r,99.0,1,0.0
38,2459460.0148611,19.8054008483887,0.250014990568161,r,99.0,1,0.0
39,2459462.0092361,19.9021701812744,0.204455509781837,r,99.0,1,0.0
40,2459462.0116667,19.8322353363037,0.176882103085518,r,99.0,1,0.0
41,2459462.0140856,20.1490993499756,0.276279985904694,r,99.0,1,0.0
42,2459462.0189468,19.4612007141113,0.222350001335144,r,99.0,1,0.0
43,2459463.0132523,19.8265991210938,0.251612991094589,r,99.0,1,0.0
44,2459463.0156829,19.7092914581299,0.209287390112877,r,99.0,1,0.0
45,2459460.0148611,19.8054008483887,0.250014990568161,r,99.0,1,0.0
46,2459462.0116667,19.8322353363037,0.176882103085518,r,99.0,1,0.0
47,2459462.0140856,20.1490993499756,0.276279985904694,r,99.0,1,0.0
48,2459462.0189468,19.4612007141113,0.222350001335144,r,99.0,1,0.0
49,2459463.0132523,19.8265991210938,0.251612991094589,r,99.0,1,0.0
50,2459463.0156829,19.7092914581299,0.209287390112877,r,99.0,1,0.0
51,2459460.0148611,19.8054008483887,0.250014990568161,r,99.0,1,0.0
52,2459462.0140856,20.1490993499756,0.276279985904694,r,99.0,1,0.0
53,2459462.0189468,19.4612007141113,0.222350001335144,r,99.0,1,0.0
54,2459463.0132523,19.8265991210938,0.251612991094589,r,99.0,1,0.0
55,2459463.0156829,19.7092914581299,0.209287390112877,r,99.0,1,0.0
56,2459460.0148611,19.8054008483887,0.250014990568161,r,99.0,1,0.0
57,2459462.0189468,19.4612007141113,0.222350001335144,r,99.0,1,0.0
58,2459463.0132523,19.8265991210938,0.251612991094589,r,99.0,1,0.0
59,2459463.0156829,19.7092914581299,0.209287390112877,r,99.0,1,0.0
60,2459460.0148611,19.8054008483887,0.250014990568161,r,99.0,1,0.0
61,2459463.0132523,19.8265991210938,0.251612991094589,r,99.0,1,0.0
62,2459463.0156829,19.7092914581299,0.209287390112877,r,99.0,1,0.0
63,2459460.0148611,19.8054008483887,0.250014990568161,r,99.0,1,0.0
64,2459463.0156829,19.7092914581299,0.209287390112877,r,99.0,1,0.0
65,2459460.0148611,19.8054008483887,0.250014990568161,r,99.0,1,0.0
