,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459458.8538194,99.0,99.0,r,21.2911172367069,2.0,1.0
1,2459458.8745602,99.0,99.0,r,21.3352689484261,2.0,1.0
2,2459459.7618056,99.0,99.0,r,21.3470458868385,2.0,1.0
3,2459459.7906597,99.0,99.0,g,21.6839243622843,2.0,1.0
4,2459459.8542593,99.0,99.0,g,21.2696972434464,2.0,1.0
5,2459459.8720833,99.0,99.0,r,21.6058869841833,2.0,1.0
6,2459460.8180903,99.0,99.0,r,21.4939906737761,2.0,1.0
7,2459460.886794,99.0,99.0,g,21.5830296372228,2.0,1.0
8,2459461.7129977,99.0,99.0,g,21.0190745759568,2.0,1.0
9,2459461.7603935,99.0,99.0,g,21.3498362713888,2.0,1.0
10,2459461.7884144,99.0,99.0,r,21.4027351572129,2.0,1.0
11,2459461.8199306,99.0,99.0,i,20.6365043370024,2.0,1.0
12,2459461.8621181,99.0,99.0,r,21.3813877099135,2.0,1.0
13,2459462.7945486,99.0,99.0,g,21.2808591258808,2.0,1.0
14,2459462.8539236,99.0,99.0,g,21.5954597530032,2.0,1.0
15,2459462.8689005,99.0,99.0,r,21.4585263264348,2.0,1.0
16,2459462.9000116,99.0,99.0,r,21.369074412887,2.0,1.0
17,2459463.7438194,99.0,99.0,g,21.3171754912612,2.0,1.0
18,2459463.7608449,21.6388060527771,0.264564924682136,r,21.4243611767327,2.0,1.0
19,2459463.8559028,21.6375243381861,0.256663564032182,g,21.4559995758063,2.0,1.0
20,2459464.699838,99.0,99.0,i,20.5471128636148,2.0,1.0
21,2459464.8232523,21.2544396796448,0.18872908795702,r,21.4067283658376,2.0,1.0
22,2459464.8409491,21.2366500291017,0.18808581809108,r,21.392645692116,2.0,1.0
23,2459464.9359954,21.1667428419322,0.228997017383819,g,21.1090540664641,2.0,1.0
24,2459465.6983565,20.8810832688632,0.160997073682002,r,21.2059241022742,2.0,1.0
25,2459465.8292477,20.9902749686313,0.139041299526117,g,21.474301212263,2.0,1.0
26,2459465.8397338,21.3320593861169,0.239857506260438,r,21.2240618899205,2.0,1.0
27,2459466.8157639,20.7723687546009,0.119485059463895,g,21.420970533579,2.0,1.0
28,2459466.8525231,20.7458039173856,0.111437913382104,r,21.4701072776016,2.0,1.0
29,2459466.8589583,20.6960051763508,0.125753390617092,r,21.2890917066403,2.0,1.0
30,2459466.910463,20.7578531533559,0.130874015991685,g,21.3076053690727,2.0,1.0
31,2459467.6959259,20.6246226513398,0.143259386565026,g,21.0762007224741,2.0,1.0
32,2459467.7451968,20.6150085789678,0.113758626995805,r,21.316933513756,2.0,1.0
