,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459460.6748148,99.0,99.0,g,21.3692809333864,2.0,1.0
1,2459460.7064236,99.0,99.0,r,20.8969042855964,2.0,1.0
2,2459460.7358449,99.0,99.0,r,20.9035561328513,2.0,1.0
3,2459460.776412,99.0,99.0,g,20.7898104232204,2.0,1.0
4,2459461.6523958,99.0,99.0,r,20.75280516552,2.0,1.0
5,2459461.6818519,99.0,99.0,r,20.660317341441,2.0,1.0
6,2459461.6925463,99.0,99.0,g,20.9253247126607,2.0,1.0
7,2459461.6934954,99.0,99.0,g,21.0117009423174,2.0,1.0
8,2459461.7248958,99.0,99.0,g,20.5421805696094,2.0,1.0
9,2459462.6547801,99.0,99.0,i,20.8553374409407,2.0,1.0
10,2459462.6871528,99.0,99.0,g,21.3640098958533,2.0,1.0
11,2459462.695081,99.0,99.0,r,20.9277040985027,2.0,1.0
12,2459462.7344329,99.0,99.0,r,20.4757399979895,2.0,1.0
13,2459462.7658218,99.0,99.0,g,20.6374598885489,2.0,1.0
14,2459463.6517708,99.0,99.0,r,21.0988173530267,2.0,1.0
15,2459463.6921875,99.0,99.0,g,21.1761199717059,2.0,1.0
16,2459464.6804977,99.0,99.0,g,21.2620150953825,2.0,1.0
17,2459464.7817824,99.0,99.0,r,20.3489917105876,2.0,1.0
18,2459465.6520833,99.0,99.0,i,20.6096778173889,2.0,1.0
19,2459465.6802431,20.2447758122567,0.166002573776737,r,20.536374547387,2.0,1.0
20,2459466.6791667,17.5028060231443,0.0132570018923777,r,20.5385785165468,2.0,1.0
21,2459466.726875,17.0846282867551,0.0112316196815021,g,20.3004081028203,2.0,1.0
22,2459467.6491782,17.7013307284265,0.0150013831258953,r,20.6028882605034,2.0,1.0
23,2459467.6718056,17.409347263356,0.0123086534671753,g,20.5257066901763,2.0,1.0
24,2459468.645162,18.2613744991476,0.0273195964317641,i,20.5120745892175,2.0,1.0
25,2459468.6643287,17.6635137277553,0.0130845245097769,g,20.7135046542278,2.0,1.0
26,2459468.6979745,17.7004479488264,0.0138030569441422,g,20.6923955387718,2.0,1.0
27,2459468.7165625,18.0086266154523,0.0184887564648833,r,20.6832431497124,2.0,1.0
28,2459466.6791667,17.5267429351807,0.0546497032046318,r,99.0,2.0,0.0
29,2459466.7164699,17.094877243042,0.047643531113863,g,99.0,1.0,0.0
30,2459466.726875,17.1097469329834,0.0469257831573486,g,99.0,2.0,0.0
31,2459467.6491782,17.7536182403564,0.0557706877589226,r,99.0,2.0,0.0
32,2459467.6718056,17.4436054229736,0.0568296834826469,g,99.0,2.0,0.0
33,2459468.645162,18.3506774902344,0.0863875523209572,i,99.0,2.0,0.0
34,2459468.6643287,17.7196636199951,0.0477438680827618,g,99.0,2.0,0.0
35,2459468.6764005,17.7335014343262,0.0457374267280102,g,99.0,1.0,0.0
36,2459468.6979745,17.7337303161621,0.0612834915518761,g,99.0,2.0,0.0
37,2459468.7165625,18.0447025299072,0.0699059218168259,r,99.0,2.0,0.0
38,2459468.7175116,18.037504196167,0.0681813880801201,r,99.0,1.0,0.0
39,2459466.7164699,17.094877243042,0.047643531113863,g,99.0,1.0,0.0
40,2459466.726875,17.1097469329834,0.0469257831573486,g,99.0,2.0,0.0
41,2459467.6491782,17.7536182403564,0.0557706877589226,r,99.0,2.0,0.0
42,2459467.6718056,17.4436054229736,0.0568296834826469,g,99.0,2.0,0.0
43,2459468.645162,18.3506774902344,0.0863875523209572,i,99.0,2.0,0.0
44,2459468.6643287,17.7196636199951,0.0477438680827618,g,99.0,2.0,0.0
45,2459468.6764005,17.7335014343262,0.0457374267280102,g,99.0,1.0,0.0
46,2459468.6979745,17.7337303161621,0.0612834915518761,g,99.0,2.0,0.0
47,2459468.7165625,18.0447025299072,0.0699059218168259,r,99.0,2.0,0.0
48,2459468.7175116,18.037504196167,0.0681813880801201,r,99.0,1.0,0.0
49,2459466.7164699,17.094877243042,0.047643531113863,g,99.0,1.0,0.0
50,2459467.6491782,17.7536182403564,0.0557706877589226,r,99.0,2.0,0.0
51,2459467.6718056,17.4436054229736,0.0568296834826469,g,99.0,2.0,0.0
52,2459468.645162,18.3506774902344,0.0863875523209572,i,99.0,2.0,0.0
53,2459468.6643287,17.7196636199951,0.0477438680827618,g,99.0,2.0,0.0
54,2459468.6764005,17.7335014343262,0.0457374267280102,g,99.0,1.0,0.0
55,2459468.6979745,17.7337303161621,0.0612834915518761,g,99.0,2.0,0.0
56,2459468.7165625,18.0447025299072,0.0699059218168259,r,99.0,2.0,0.0
57,2459468.7175116,18.037504196167,0.0681813880801201,r,99.0,1.0,0.0
58,2459466.7164699,17.094877243042,0.047643531113863,g,99.0,1.0,0.0
59,2459467.6718056,17.4436054229736,0.0568296834826469,g,99.0,2.0,0.0
60,2459468.645162,18.3506774902344,0.0863875523209572,i,99.0,2.0,0.0
61,2459468.6643287,17.7196636199951,0.0477438680827618,g,99.0,2.0,0.0
62,2459468.6764005,17.7335014343262,0.0457374267280102,g,99.0,1.0,0.0
63,2459468.6979745,17.7337303161621,0.0612834915518761,g,99.0,2.0,0.0
64,2459468.7165625,18.0447025299072,0.0699059218168259,r,99.0,2.0,0.0
65,2459468.7175116,18.037504196167,0.0681813880801201,r,99.0,1.0,0.0
66,2459467.6718056,17.4436054229736,0.0568296834826469,g,99.0,2.0,0.0
67,2459468.645162,18.3506774902344,0.0863875523209572,i,99.0,2.0,0.0
68,2459468.6643287,17.7196636199951,0.0477438680827618,g,99.0,2.0,0.0
69,2459468.6764005,17.7335014343262,0.0457374267280102,g,99.0,1.0,0.0
70,2459468.6979745,17.7337303161621,0.0612834915518761,g,99.0,2.0,0.0
71,2459468.7165625,18.0447025299072,0.0699059218168259,r,99.0,2.0,0.0
72,2459468.7175116,18.037504196167,0.0681813880801201,r,99.0,1.0,0.0
73,2459468.645162,18.3506774902344,0.0863875523209572,i,99.0,2.0,0.0
74,2459468.6643287,17.7196636199951,0.0477438680827618,g,99.0,2.0,0.0
75,2459468.6764005,17.7335014343262,0.0457374267280102,g,99.0,1.0,0.0
76,2459468.6979745,17.7337303161621,0.0612834915518761,g,99.0,2.0,0.0
77,2459468.7165625,18.0447025299072,0.0699059218168259,r,99.0,2.0,0.0
78,2459468.7175116,18.037504196167,0.0681813880801201,r,99.0,1.0,0.0
79,2459468.6643287,17.7196636199951,0.0477438680827618,g,99.0,2.0,0.0
80,2459468.6764005,17.7335014343262,0.0457374267280102,g,99.0,1.0,0.0
81,2459468.6979745,17.7337303161621,0.0612834915518761,g,99.0,2.0,0.0
82,2459468.7165625,18.0447025299072,0.0699059218168259,r,99.0,2.0,0.0
83,2459468.7175116,18.037504196167,0.0681813880801201,r,99.0,1.0,0.0
84,2459468.6764005,17.7335014343262,0.0457374267280102,g,99.0,1.0,0.0
85,2459468.6979745,17.7337303161621,0.0612834915518761,g,99.0,2.0,0.0
86,2459468.7165625,18.0447025299072,0.0699059218168259,r,99.0,2.0,0.0
87,2459468.7175116,18.037504196167,0.0681813880801201,r,99.0,1.0,0.0
88,2459468.6979745,17.7337303161621,0.0612834915518761,g,99.0,2.0,0.0
89,2459468.7165625,18.0447025299072,0.0699059218168259,r,99.0,2.0,0.0
90,2459468.7175116,18.037504196167,0.0681813880801201,r,99.0,1.0,0.0
91,2459468.7165625,18.0447025299072,0.0699059218168259,r,99.0,2.0,0.0
92,2459468.7175116,18.037504196167,0.0681813880801201,r,99.0,1.0,0.0
93,2459468.7175116,18.037504196167,0.0681813880801201,r,99.0,1.0,0.0
