,jd,mag,mag_unc,filter,limmag,programid,forced
2,2459459.9081019,99.0,99.0,i,20.910305227809,2.0,1.0
8,2459462.9477199,21.0330330559728,0.251333756396845,i,20.8742917895961,2.0,1.0
14,2459465.8840046,99.0,99.0,i,20.8205455808905,2.0,1.0
15,2459468.905625,20.822157505808,0.202509401533628,i,20.8979303193634,2.0,1.0
16,2459459.8421875,20.9416999816895,0.354867994785309,g,99.0,1.0,0.0
20,2459461.9282292,21.0809993743896,0.338248014450073,g,99.0,1.0,0.0
27,2459461.9282292,21.0809993743896,0.338248014450073,g,99.0,1.0,0.0
33,2459461.9282292,21.0809993743896,0.338248014450073,g,99.0,1.0,0.0
38,2459461.9282292,21.0809993743896,0.338248014450073,g,99.0,1.0,0.0
42,2459461.9282292,21.0809993743896,0.338248014450073,g,99.0,1.0,0.0
