,jd,mag,mag_unc,filter,limmag,programid,forced
1,2459462.941088,99.0,99.0,i,20.4117180953767,2.0,1.0
2,2459463.8194907,21.0396699255928,0.180402429233549,r,21.2409497614418,2.0,1.0
5,2459463.8722338,20.9692812293523,0.140469602218122,g,21.4422111369734,2.0,1.0
6,2459464.8603356,99.0,99.0,i,20.5560859938945,2.0,1.0
7,2459464.8919907,20.8404930291572,0.154201320755784,r,21.2121585844396,2.0,1.0
9,2459464.9331713,21.2681104766449,0.226097897776727,g,21.2242549548332,2.0,1.0
11,2459465.8911227,99.0,99.0,i,20.5434665085322,2.0,1.0
12,2459468.9136574,99.0,99.0,i,20.7532091033981,2.0,1.0
13,2459461.8716667,20.9340991973877,0.306412011384964,r,99.0,1.0,0.0
14,2459461.9095255,21.2208003997803,0.39605501294136,g,99.0,1.0,0.0
15,2459465.8162384,20.9790992736816,0.332671999931335,g,99.0,1.0,0.0
16,2459465.8566204,20.9437999725342,0.262409001588821,r,99.0,1.0,0.0
17,2459469.8598843,20.622091293335,0.196167960762978,r,99.0,1.0,0.0
18,2459461.9095255,21.2208003997803,0.39605501294136,g,99.0,1.0,0.0
19,2459465.8162384,20.9790992736816,0.332671999931335,g,99.0,1.0,0.0
20,2459465.8566204,20.9437999725342,0.262409001588821,r,99.0,1.0,0.0
21,2459469.8598843,20.622091293335,0.196167960762978,r,99.0,1.0,0.0
22,2459461.9095255,21.2208003997803,0.39605501294136,g,99.0,1.0,0.0
23,2459465.8162384,20.9790992736816,0.332671999931335,g,99.0,1.0,0.0
24,2459469.8598843,20.622091293335,0.196167960762978,r,99.0,1.0,0.0
25,2459461.9095255,21.2208003997803,0.39605501294136,g,99.0,1.0,0.0
26,2459469.8598843,20.622091293335,0.196167960762978,r,99.0,1.0,0.0
27,2459461.9095255,21.2208003997803,0.39605501294136,g,99.0,1.0,0.0
