,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459467.7233912,16.5463199615479,0.0365232639014721,g,99.0,1,0.0
1,2459467.8677431,16.91015625,0.0366761237382889,r,99.0,1,0.0
2,2459469.7606829,17.3970184326172,0.0568928271532059,g,99.0,1,0.0
3,2459469.8684259,17.5507545471191,0.0506400987505913,r,99.0,1,0.0
4,2459467.8677431,16.91015625,0.0366761237382889,r,99.0,1,0.0
5,2459469.7606829,17.3970184326172,0.0568928271532059,g,99.0,1,0.0
6,2459469.8684259,17.5507545471191,0.0506400987505913,r,99.0,1,0.0
7,2459467.8677431,16.91015625,0.0366761237382889,r,99.0,1,0.0
8,2459469.7606829,17.3970184326172,0.0568928271532059,g,99.0,1,0.0
9,2459467.8677431,16.91015625,0.0366761237382889,r,99.0,1,0.0
