,jd,mag,mag_unc,filter,limmag,programid,forced
12,2459459.9334491,20.2155456542969,0.175094693899155,g,99.0,1.0,0.0
14,2459459.9771644,20.3375988006592,0.15418367087841,r,99.0,1.0,0.0
18,2459461.9306597,20.3791694641113,0.214814707636833,g,99.0,1.0,0.0
19,2459461.9711806,20.4513664245605,0.138101547956467,r,99.0,1.0,0.0
20,2459463.903287,20.2727699279785,0.186360195279121,r,99.0,1.0,0.0
27,2459465.9214699,20.4895000457764,0.307788014411926,g,99.0,1.0,0.0
28,2459465.967037,20.5522994995117,0.284011989831924,r,99.0,1.0,0.0
29,2459467.9050579,20.5250301361084,0.196567341685295,r,99.0,1.0,0.0
32,2459459.9771644,20.3375988006592,0.15418367087841,r,99.0,1.0,0.0
36,2459461.9306597,20.3791694641113,0.214814707636833,g,99.0,1.0,0.0
37,2459461.9711806,20.4513664245605,0.138101547956467,r,99.0,1.0,0.0
38,2459463.903287,20.2727699279785,0.186360195279121,r,99.0,1.0,0.0
45,2459465.9214699,20.4895000457764,0.307788014411926,g,99.0,1.0,0.0
46,2459465.967037,20.5522994995117,0.284011989831924,r,99.0,1.0,0.0
47,2459467.9050579,20.5250301361084,0.196567341685295,r,99.0,1.0,0.0
49,2459459.9771644,20.3375988006592,0.15418367087841,r,99.0,1.0,0.0
53,2459461.9306597,20.3791694641113,0.214814707636833,g,99.0,1.0,0.0
54,2459461.9711806,20.4513664245605,0.138101547956467,r,99.0,1.0,0.0
55,2459463.903287,20.2727699279785,0.186360195279121,r,99.0,1.0,0.0
62,2459465.9214699,20.4895000457764,0.307788014411926,g,99.0,1.0,0.0
63,2459465.967037,20.5522994995117,0.284011989831924,r,99.0,1.0,0.0
64,2459467.9050579,20.5250301361084,0.196567341685295,r,99.0,1.0,0.0
65,2459459.9771644,20.3375988006592,0.15418367087841,r,99.0,1.0,0.0
69,2459461.9306597,20.3791694641113,0.214814707636833,g,99.0,1.0,0.0
70,2459461.9711806,20.4513664245605,0.138101547956467,r,99.0,1.0,0.0
