,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459464.6686806,19.6974010467529,0.174191921949387,g,99.0,1,0.0
1,2459464.7115162,18.9081230163574,0.109077826142311,r,99.0,1,0.0
2,2459466.6690278,17.7151947021484,0.0452548079192638,r,99.0,1,0.0
3,2459468.6688079,19.2814636230469,0.152854338288307,g,99.0,1,0.0
4,2459468.7310069,18.7810001373291,0.0837833806872368,r,99.0,1,0.0
5,2459464.6686806,19.6974010467529,0.174191921949387,g,99.0,1,0.0
6,2459466.6690278,17.7151947021484,0.0452548079192638,r,99.0,1,0.0
7,2459468.6688079,19.2814636230469,0.152854338288307,g,99.0,1,0.0
8,2459468.7310069,18.7810001373291,0.0837833806872368,r,99.0,1,0.0
9,2459464.6686806,19.6974010467529,0.174191921949387,g,99.0,1,0.0
10,2459468.6688079,19.2814636230469,0.152854338288307,g,99.0,1,0.0
11,2459468.7310069,18.7810001373291,0.0837833806872368,r,99.0,1,0.0
12,2459464.6686806,19.6974010467529,0.174191921949387,g,99.0,1,0.0
13,2459468.7310069,18.7810001373291,0.0837833806872368,r,99.0,1,0.0
14,2459464.6686806,19.6974010467529,0.174191921949387,g,99.0,1,0.0
