,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459473.7404051,17.5969543457031,0.0500872246921062,r,99.0,1,0.0
1,2459473.8694213,17.8713817596436,0.0542531125247478,g,99.0,1,0.0
2,2459473.8906713,17.9671688079834,0.0458540506660938,g,99.0,1,0.0
3,2459473.9335301,17.6896705627441,0.0591659545898438,r,99.0,1,0.0
4,2459473.8694213,17.8713817596436,0.0542531125247478,g,99.0,1,0.0
5,2459473.8906713,17.9671688079834,0.0458540506660938,g,99.0,1,0.0
6,2459473.9335301,17.6896705627441,0.0591659545898438,r,99.0,1,0.0
7,2459473.8694213,17.8713817596436,0.0542531125247478,g,99.0,1,0.0
8,2459473.9335301,17.6896705627441,0.0591659545898438,r,99.0,1,0.0
9,2459473.8694213,17.8713817596436,0.0542531125247478,g,99.0,1,0.0
