,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459468.6456366,20.7668130494882,0.195210557788021,i,20.8824405825956,2.0,1.0
1,2459471.6865394,20.097255207214,0.222960033920463,i,20.0685734418616,2.0,1.0
2,2459473.6532292,19.8648735905102,0.0846889304744667,r,20.8871927589704,2.0,1.0
3,2459473.686412,20.3779266187308,0.17262181670582,g,20.6270732005766,2.0,1.0
4,2459474.6393866,20.2967561555299,0.195909542816901,g,20.4085029667863,2.0,1.0
5,2459474.6526852,20.2762685675215,0.17296319268828,g,20.5232701235469,2.0,1.0
6,2459474.6829745,20.0064355670419,0.184618568368659,i,20.1826329089034,2.0,1.0
7,2459474.7235995,20.188878515133,0.160953129941913,r,20.5140157379193,2.0,1.0
8,2459474.731088,20.3136304776589,0.188699623434373,r,20.4660886830118,2.0,1.0
9,2459466.6513889,20.6396007537842,0.236166998744011,r,99.0,1.0,0.0
10,2459466.7264005,20.486499786377,0.380816012620926,g,99.0,1.0,0.0
11,2459468.6624421,20.6373996734619,0.242375001311302,g,99.0,1.0,0.0
12,2459468.7366898,20.3115005493164,0.2535580098629,r,99.0,1.0,0.0
13,2459470.6621412,20.2893009185791,0.231985002756119,r,99.0,1.0,0.0
14,2459473.6420139,20.244800567627,0.24141700565815,r,99.0,1.0,0.0
15,2459473.6532292,19.9258823394775,0.216018944978714,r,99.0,2.0,0.0
16,2459466.6513889,20.6396007537842,0.236166998744011,r,99.0,1.0,0.0
17,2459468.6624421,20.6373996734619,0.242375001311302,g,99.0,1.0,0.0
18,2459468.7366898,20.3115005493164,0.2535580098629,r,99.0,1.0,0.0
19,2459470.6621412,20.2893009185791,0.231985002756119,r,99.0,1.0,0.0
20,2459473.6420139,20.244800567627,0.24141700565815,r,99.0,1.0,0.0
21,2459473.6532292,19.9258823394775,0.216018944978714,r,99.0,2.0,0.0
22,2459466.6513889,20.6396007537842,0.236166998744011,r,99.0,1.0,0.0
23,2459468.7366898,20.3115005493164,0.2535580098629,r,99.0,1.0,0.0
24,2459470.6621412,20.2893009185791,0.231985002756119,r,99.0,1.0,0.0
25,2459473.6420139,20.244800567627,0.24141700565815,r,99.0,1.0,0.0
26,2459473.6532292,19.9258823394775,0.216018944978714,r,99.0,2.0,0.0
27,2459466.6513889,20.6396007537842,0.236166998744011,r,99.0,1.0,0.0
28,2459470.6621412,20.2893009185791,0.231985002756119,r,99.0,1.0,0.0
29,2459473.6420139,20.244800567627,0.24141700565815,r,99.0,1.0,0.0
30,2459473.6532292,19.9258823394775,0.216018944978714,r,99.0,2.0,0.0
31,2459466.6513889,20.6396007537842,0.236166998744011,r,99.0,1.0,0.0
32,2459473.6420139,20.244800567627,0.24141700565815,r,99.0,1.0,0.0
33,2459473.6532292,19.9258823394775,0.216018944978714,r,99.0,2.0,0.0
34,2459466.6513889,20.6396007537842,0.236166998744011,r,99.0,1.0,0.0
35,2459473.6532292,19.9258823394775,0.216018944978714,r,99.0,2.0,0.0
36,2459466.6513889,20.6396007537842,0.236166998744011,r,99.0,1.0,0.0
