,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459476.9396065,16.1301602485559,0.00662384642699411,r,19.9192704005641,2.0,1.0
1,2459476.9810532,16.3198378780585,0.00713014199073927,g,20.028978220788,2.0,1.0
2,2459475.9659838,19.6023979187012,0.138061106204987,g,99.0,1.0,0.0
3,2459476.9396065,16.1314449310303,0.0428950116038322,r,99.0,2.0,0.0
4,2459476.9810532,16.360912322998,0.0417300686240196,g,99.0,2.0,0.0
5,2459477.8840046,16.6671581268311,0.039665125310421,g,99.0,1.0,0.0
6,2459477.9911343,16.5837898254395,0.0311836451292038,r,99.0,1.0,0.0
7,2459475.9659838,19.6023979187012,0.138061106204987,g,99.0,1.0,0.0
8,2459476.9810532,16.360912322998,0.0417300686240196,g,99.0,2.0,0.0
9,2459477.8840046,16.6671581268311,0.039665125310421,g,99.0,1.0,0.0
10,2459477.9911343,16.5837898254395,0.0311836451292038,r,99.0,1.0,0.0
11,2459475.9659838,19.6023979187012,0.138061106204987,g,99.0,1.0,0.0
12,2459476.9810532,16.360912322998,0.0417300686240196,g,99.0,2.0,0.0
13,2459477.9911343,16.5837898254395,0.0311836451292038,r,99.0,1.0,0.0
14,2459475.9659838,19.6023979187012,0.138061106204987,g,99.0,1.0,0.0
15,2459476.9810532,16.360912322998,0.0417300686240196,g,99.0,2.0,0.0
16,2459475.9659838,19.6023979187012,0.138061106204987,g,99.0,1.0,0.0
