,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459478.7909028,99.0,99.0,r,19.5876783582647,2.0,1.0
1,2459478.9598958,99.0,99.0,g,19.5987217005604,2.0,1.0
2,2459479.8677894,99.0,99.0,r,19.6126469112548,2.0,1.0
3,2459479.939537,99.0,99.0,r,19.8316230037744,2.0,1.0
4,2459483.7777315,19.2623061818735,0.160771431715914,g,19.58866977272,2.0,1.0
5,2459483.9351736,19.3980031856601,0.131702908705798,g,19.9409005582102,2.0,1.0
6,2459484.7659375,19.4542932931195,0.080657833608867,r,20.5295626994611,2.0,1.0
7,2459484.8559375,19.3305321362063,0.0720327757367262,g,20.5285925494029,2.0,1.0
8,2459484.9629861,19.5163940489829,0.087686715220406,r,20.5009453342344,2.0,1.0
9,2459483.9351736,19.2950992584229,0.164211004972458,g,99.0,2.0,0.0
10,2459484.7659375,19.4143867492676,0.132223054766655,r,99.0,2.0,0.0
11,2459484.8559375,19.3250370025635,0.124867990612984,g,99.0,2.0,0.0
12,2459484.878125,19.5227813720703,0.144841864705086,g,99.0,1.0,0.0
13,2459483.9351736,19.2950992584229,0.164211004972458,g,99.0,2.0,0.0
14,2459484.7659375,19.4143867492676,0.132223054766655,r,99.0,2.0,0.0
15,2459484.8559375,19.3250370025635,0.124867990612984,g,99.0,2.0,0.0
16,2459483.9351736,19.2950992584229,0.164211004972458,g,99.0,2.0,0.0
17,2459484.7659375,19.4143867492676,0.132223054766655,r,99.0,2.0,0.0
18,2459484.7659375,19.4143867492676,0.132223054766655,r,99.0,2.0,0.0
