,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459478.6722454,99.0,99.0,r,19.9483279684319,2.0,1.0
1,2459479.650625,99.0,99.0,g,20.11726064469,2.0,1.0
2,2459479.6889931,99.0,99.0,g,19.4634345222585,2.0,1.0
3,2459480.6639236,99.0,99.0,g,20.0685279196953,2.0,1.0
4,2459480.6860185,99.0,99.0,r,20.151063005995,2.0,1.0
5,2459484.6233796,21.428002423225,0.0914770729789331,g,22.3666075625713,2.0,1.0
6,2459484.6537153,21.1537535986581,0.076411107408257,r,22.2877481531071,2.0,1.0
7,2459485.6193171,21.5394613352619,0.166776278994686,g,21.8260114245809,2.0,1.0
8,2459485.65,21.49802996922,0.152424505258826,r,21.8822787731656,2.0,1.0
9,2459484.6537153,21.1545658111572,0.127890363335609,r,99.0,2.0,0.0
