,jd,mag,mag_unc,filter,limmag,programid,forced
1,2459476.8585417,99.0,99.0,i,19.6728751144652,2.0,1.0
4,2459484.8024769,19.4067847446375,0.0902035603226563,i,20.3606113351631,2.0,1.0
10,2459487.7944444,19.1431620600448,0.0904987043675787,i,20.0934419450469,2.0,1.0
16,2459484.8024769,19.3981628417969,0.187932461500168,i,99.0,2.0,0.0
20,2459487.7944444,19.1148700714111,0.15752737224102,i,99.0,2.0,0.0
22,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
24,2459488.7969792,19.0835075378418,0.112282581627369,r,99.0,1.0,0.0
28,2459484.8024769,19.3981628417969,0.187932461500168,i,99.0,2.0,0.0
32,2459487.7944444,19.1148700714111,0.15752737224102,i,99.0,2.0,0.0
34,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
35,2459488.7969792,19.0835075378418,0.112282581627369,r,99.0,1.0,0.0
38,2459484.8024769,19.3981628417969,0.187932461500168,i,99.0,2.0,0.0
42,2459487.7944444,19.1148700714111,0.15752737224102,i,99.0,2.0,0.0
44,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
45,2459488.7969792,19.0835075378418,0.112282581627369,r,99.0,1.0,0.0
48,2459484.8024769,19.3981628417969,0.187932461500168,i,99.0,2.0,0.0
52,2459487.7944444,19.1148700714111,0.15752737224102,i,99.0,2.0,0.0
54,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
57,2459484.8024769,19.3981628417969,0.187932461500168,i,99.0,2.0,0.0
61,2459487.7944444,19.1148700714111,0.15752737224102,i,99.0,2.0,0.0
63,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
65,2459484.8024769,19.3981628417969,0.187932461500168,i,99.0,2.0,0.0
68,2459487.7944444,19.1148700714111,0.15752737224102,i,99.0,2.0,0.0
70,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
72,2459484.8024769,19.3981628417969,0.187932461500168,i,99.0,2.0,0.0
74,2459487.7944444,19.1148700714111,0.15752737224102,i,99.0,2.0,0.0
76,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
78,2459484.8024769,19.3981628417969,0.187932461500168,i,99.0,2.0,0.0
80,2459487.7944444,19.1148700714111,0.15752737224102,i,99.0,2.0,0.0
81,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
82,2459484.8024769,19.3981628417969,0.187932461500168,i,99.0,2.0,0.0
84,2459487.7944444,19.1148700714111,0.15752737224102,i,99.0,2.0,0.0
85,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
87,2459487.7944444,19.1148700714111,0.15752737224102,i,99.0,2.0,0.0
88,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
89,2459487.7944444,19.1148700714111,0.15752737224102,i,99.0,2.0,0.0
90,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
91,2459488.7877894,19.3980808258057,0.173160389065742,g,99.0,1.0,0.0
