,jd,mag,mag_unc,filter,limmag,programid,forced
4,2459485.9890625,19.0131456679758,0.217315117256891,i,19.0123066107449,2.0,1.0
11,2459488.9749421,20.2679315995422,0.200053355158543,i,20.3569527899656,2.0,1.0
14,2459483.9937616,20.0081005096436,0.283585995435715,r,99.0,1.0,0.0
15,2459484.0048958,20.0748996734619,0.29321700334549,r,99.0,1.0,0.0
16,2459487.9667245,19.6956005096436,0.262818992137909,g,99.0,1.0,0.0
19,2459487.9733333,19.3909015655518,0.17060911655426,g,99.0,1.0,0.0
20,2459488.0039236,19.7021999359131,0.27039098739624,r,99.0,1.0,0.0
26,2459483.9937616,20.0081005096436,0.283585995435715,r,99.0,1.0,0.0
27,2459484.0048958,20.0748996734619,0.29321700334549,r,99.0,1.0,0.0
28,2459487.9667245,19.6956005096436,0.262818992137909,g,99.0,1.0,0.0
31,2459487.9733333,19.3909015655518,0.17060911655426,g,99.0,1.0,0.0
37,2459483.9937616,20.0081005096436,0.283585995435715,r,99.0,1.0,0.0
38,2459484.0048958,20.0748996734619,0.29321700334549,r,99.0,1.0,0.0
39,2459487.9667245,19.6956005096436,0.262818992137909,g,99.0,1.0,0.0
42,2459487.9733333,19.3909015655518,0.17060911655426,g,99.0,1.0,0.0
47,2459483.9937616,20.0081005096436,0.283585995435715,r,99.0,1.0,0.0
48,2459484.0048958,20.0748996734619,0.29321700334549,r,99.0,1.0,0.0
49,2459487.9667245,19.6956005096436,0.262818992137909,g,99.0,1.0,0.0
52,2459487.9733333,19.3909015655518,0.17060911655426,g,99.0,1.0,0.0
56,2459483.9937616,20.0081005096436,0.283585995435715,r,99.0,1.0,0.0
57,2459484.0048958,20.0748996734619,0.29321700334549,r,99.0,1.0,0.0
58,2459487.9667245,19.6956005096436,0.262818992137909,g,99.0,1.0,0.0
61,2459487.9733333,19.3909015655518,0.17060911655426,g,99.0,1.0,0.0
64,2459483.9937616,20.0081005096436,0.283585995435715,r,99.0,1.0,0.0
65,2459484.0048958,20.0748996734619,0.29321700334549,r,99.0,1.0,0.0
66,2459487.9667245,19.6956005096436,0.262818992137909,g,99.0,1.0,0.0
69,2459487.9733333,19.3909015655518,0.17060911655426,g,99.0,1.0,0.0
71,2459483.9937616,20.0081005096436,0.283585995435715,r,99.0,1.0,0.0
72,2459484.0048958,20.0748996734619,0.29321700334549,r,99.0,1.0,0.0
73,2459487.9667245,19.6956005096436,0.262818992137909,g,99.0,1.0,0.0
76,2459487.9733333,19.3909015655518,0.17060911655426,g,99.0,1.0,0.0
77,2459483.9937616,20.0081005096436,0.283585995435715,r,99.0,1.0,0.0
78,2459484.0048958,20.0748996734619,0.29321700334549,r,99.0,1.0,0.0
79,2459487.9667245,19.6956005096436,0.262818992137909,g,99.0,1.0,0.0
81,2459487.9733333,19.3909015655518,0.17060911655426,g,99.0,1.0,0.0
82,2459483.9937616,20.0081005096436,0.283585995435715,r,99.0,1.0,0.0
83,2459484.0048958,20.0748996734619,0.29321700334549,r,99.0,1.0,0.0
85,2459487.9733333,19.3909015655518,0.17060911655426,g,99.0,1.0,0.0
86,2459483.9937616,20.0081005096436,0.283585995435715,r,99.0,1.0,0.0
87,2459484.0048958,20.0748996734619,0.29321700334549,r,99.0,1.0,0.0
89,2459484.0048958,20.0748996734619,0.29321700334549,r,99.0,1.0,0.0
