,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459484.6204745,20.7553493406648,0.0582604895521079,g,22.1837998057484,2.0,1.0
1,2459484.6508218,20.7699481094263,0.0659037288264103,r,22.0645589294485,2.0,1.0
2,2459485.616412,20.9957014216475,0.114782883331099,g,21.6878943858168,2.0,1.0
3,2459485.6470949,20.5986243397611,0.0922671731903924,r,21.527892090753,2.0,1.0
4,2459484.6508218,20.7910556793213,0.0965681523084641,r,99.0,2.0,0.0
5,2459485.616412,21.1002998352051,0.22087499499321,g,99.0,2.0,0.0
6,2459485.6470949,20.5347175598145,0.139157980680466,r,99.0,2.0,0.0
7,2459484.6508218,20.7910556793213,0.0965681523084641,r,99.0,2.0,0.0
8,2459485.6470949,20.5347175598145,0.139157980680466,r,99.0,2.0,0.0
9,2459484.6508218,20.7910556793213,0.0965681523084641,r,99.0,2.0,0.0
