,jd,mag,mag_unc,filter,limmag,programid,forced
3,2459484.9975,20.2119007110596,0.378975003957748,r,99.0,1.0,0.0
4,2459487.9528009,20.0534992218018,0.245357006788254,g,99.0,1.0,0.0
5,2459487.9820486,20.1809005737305,0.257914006710052,r,99.0,1.0,0.0
6,2459489.9596875,20.2422008514404,0.271544009447098,r,99.0,1.0,0.0
7,2459489.9819213,20.1694984436035,0.179238721728325,g,99.0,1.0,0.0
8,2459484.9975,20.2119007110596,0.378975003957748,r,99.0,1.0,0.0
9,2459487.9528009,20.0534992218018,0.245357006788254,g,99.0,1.0,0.0
10,2459487.9820486,20.1809005737305,0.257914006710052,r,99.0,1.0,0.0
11,2459489.9596875,20.2422008514404,0.271544009447098,r,99.0,1.0,0.0
12,2459484.9975,20.2119007110596,0.378975003957748,r,99.0,1.0,0.0
13,2459487.9820486,20.1809005737305,0.257914006710052,r,99.0,1.0,0.0
14,2459489.9596875,20.2422008514404,0.271544009447098,r,99.0,1.0,0.0
15,2459487.9820486,20.1809005737305,0.257914006710052,r,99.0,1.0,0.0
16,2459489.9596875,20.2422008514404,0.271544009447098,r,99.0,1.0,0.0
17,2459489.9596875,20.2422008514404,0.271544009447098,r,99.0,1.0,0.0
