,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459484.7795718,99.0,99.0,i,20.3528844611667,2.0,1.0
4,2459488.6584838,20.2407166722284,0.0890999042901432,r,21.2079093675095,2.0,1.0
5,2459488.7450926,21.0725859850045,0.224864726994916,g,21.0346684342272,2.0,1.0
6,2459489.6390625,20.3609030055024,0.205963281162985,i,20.4183142899051,2.0,1.0
7,2459484.7579167,20.2828006744385,0.243811994791031,r,99.0,1.0,0.0
8,2459487.6568403,20.4025001525879,0.248238995671272,r,99.0,1.0,0.0
9,2459489.7708565,20.088399887085,0.226197004318237,r,99.0,1.0,0.0
10,2459491.6800926,20.0036811828613,0.183205649256706,r,99.0,1.0,0.0
11,2459484.7579167,20.2828006744385,0.243811994791031,r,99.0,1.0,0.0
12,2459487.6568403,20.4025001525879,0.248238995671272,r,99.0,1.0,0.0
13,2459491.6800926,20.0036811828613,0.183205649256706,r,99.0,1.0,0.0
14,2459484.7579167,20.2828006744385,0.243811994791031,r,99.0,1.0,0.0
15,2459487.6568403,20.4025001525879,0.248238995671272,r,99.0,1.0,0.0
16,2459487.6568403,20.4025001525879,0.248238995671272,r,99.0,1.0,0.0
