,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459502.6026389,19.0911561299207,0.0853252848663065,r,20.1053475517992,2.0,1.0
1,2459502.6056481,18.8407475645674,0.0706618172632457,r,20.0596713478559,2.0,1.0
2,2459502.6086458,18.9347355319261,0.0776584692937765,r,20.0511492559501,2.0,1.0
3,2459502.6116551,18.8831076382563,0.0839670631067294,r,19.9147210192208,2.0,1.0
4,2459502.6146528,18.9479984063719,0.0841221911889206,r,19.9776077541371,2.0,1.0
5,2459503.6018519,19.3680405882889,0.182690338783786,r,19.5556374244865,2.0,1.0
6,2459503.6048727,99.0,99.0,r,19.349621522829,2.0,1.0
7,2459503.6078935,18.986137972813,0.143621067938562,r,19.4349783825714,2.0,1.0
8,2459503.6109144,19.2182467044877,0.175307107274523,r,19.4506336846974,2.0,1.0
9,2459503.6139583,19.2489310922577,0.170151186880622,r,19.5137294242475,2.0,1.0
10,2459503.6222801,19.1804251725552,0.133519188918208,i,19.7084517479115,2.0,1.0
11,2459497.6398148,18.963077545166,0.139043867588043,g,99.0,1.0,0.0
12,2459502.6026389,19.1193542480469,0.160282343626022,r,99.0,2.0,0.0
13,2459502.6056481,18.9029121398926,0.151701122522354,r,99.0,2.0,0.0
14,2459502.6086458,18.9766521453857,0.180012568831444,r,99.0,2.0,0.0
15,2459502.6116551,18.9137077331543,0.155318722128868,r,99.0,2.0,0.0
16,2459502.6146528,18.9205665588379,0.194777309894562,r,99.0,2.0,0.0
17,2459497.6398148,18.963077545166,0.139043867588043,g,99.0,1.0,0.0
18,2459502.6026389,19.1193542480469,0.160282343626022,r,99.0,2.0,0.0
19,2459502.6056481,18.9029121398926,0.151701122522354,r,99.0,2.0,0.0
20,2459502.6086458,18.9766521453857,0.180012568831444,r,99.0,2.0,0.0
21,2459502.6146528,18.9205665588379,0.194777309894562,r,99.0,2.0,0.0
22,2459497.6398148,18.963077545166,0.139043867588043,g,99.0,1.0,0.0
23,2459502.6026389,19.1193542480469,0.160282343626022,r,99.0,2.0,0.0
24,2459502.6086458,18.9766521453857,0.180012568831444,r,99.0,2.0,0.0
25,2459502.6146528,18.9205665588379,0.194777309894562,r,99.0,2.0,0.0
26,2459497.6398148,18.963077545166,0.139043867588043,g,99.0,1.0,0.0
27,2459502.6026389,19.1193542480469,0.160282343626022,r,99.0,2.0,0.0
28,2459502.6146528,18.9205665588379,0.194777309894562,r,99.0,2.0,0.0
29,2459497.6398148,18.963077545166,0.139043867588043,g,99.0,1.0,0.0
30,2459502.6146528,18.9205665588379,0.194777309894562,r,99.0,2.0,0.0
31,2459497.6398148,18.963077545166,0.139043867588043,g,99.0,1.0,0.0
