,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459497.6125926,99.0,99.0,r,19.6632718586358,2.0,1.0
1,2459498.593831,19.5481340955673,0.180569535252086,r,19.7484086840001,2.0,1.0
2,2459498.5962269,19.5332674372475,0.148904616287089,r,19.9428828218353,2.0,1.0
3,2459498.5986111,19.5033781614079,0.119698758644199,r,20.150039834232,2.0,1.0
4,2459498.6009838,19.7276235088715,0.130786160825733,r,20.2781048193951,2.0,1.0
5,2459498.6033681,19.4500918249905,0.103620653622674,r,20.2533617955305,2.0,1.0
6,2459502.5909375,18.8531258186193,0.158398318865428,r,19.195635187799,2.0,1.0
7,2459502.5933681,18.80721042985,0.122346242850506,r,19.4301196262492,2.0,1.0
8,2459502.5958102,18.9143015129595,0.108119483185162,r,19.6714273993281,2.0,1.0
9,2459502.5982523,18.8024956192004,0.101204843866201,r,19.6313781602829,2.0,1.0
10,2459502.6006829,18.7184019076026,0.0912406117274358,r,19.6598172257831,2.0,1.0
11,2459503.5901273,99.0,99.0,r,18.48413417215,2.0,1.0
12,2459503.5925694,99.0,99.0,r,18.6040106572697,2.0,1.0
13,2459503.5950116,18.7947906227762,0.224771710531264,r,18.7573222853422,2.0,1.0
14,2459503.5974537,18.3587341798064,0.13753449495578,r,18.8545908763892,2.0,1.0
15,2459503.5998958,18.6277172000684,0.169982191586363,r,18.8935944283743,2.0,1.0
16,2459504.5893403,18.7675265879984,0.120597905097024,r,19.4060629677101,2.0,1.0
17,2459504.5917708,18.7050260542435,0.106002155767362,r,19.4836250993157,2.0,1.0
18,2459504.594213,18.6789213464685,0.0930575785061742,r,19.5989277671377,2.0,1.0
19,2459504.5966435,18.5654513164638,0.083483179209679,r,19.6033396567359,2.0,1.0
20,2459504.5990741,18.541966064396,0.0799217446504333,r,19.6271894641229,2.0,1.0
21,2459498.5962269,19.5736999511719,0.254648000001907,r,99.0,2.0,0.0
22,2459498.5986111,19.3875293731689,0.196342706680298,r,99.0,2.0,0.0
23,2459502.5933681,18.846399307251,0.220133006572723,r,99.0,2.0,0.0
24,2459502.5958102,18.9370021820068,0.191697031259537,r,99.0,2.0,0.0
25,2459502.5982523,18.8204078674316,0.19277748465538,r,99.0,2.0,0.0
26,2459502.6006829,18.7531051635742,0.133235529065132,r,99.0,2.0,0.0
27,2459503.5974537,18.2817993164062,0.289478003978729,r,99.0,2.0,0.0
28,2459503.5998958,18.4286003112793,0.213167995214462,r,99.0,2.0,0.0
29,2459504.5893403,18.8145198822021,0.170899286866188,r,99.0,2.0,0.0
30,2459504.5917708,18.747932434082,0.170804530382156,r,99.0,2.0,0.0
31,2459504.594213,18.6980133056641,0.144056707620621,r,99.0,2.0,0.0
32,2459504.5966435,18.5634098052979,0.145991072058678,r,99.0,2.0,0.0
33,2459504.5990741,18.5377311706543,0.115255147218704,r,99.0,2.0,0.0
34,2459498.5986111,19.3875293731689,0.196342706680298,r,99.0,2.0,0.0
35,2459502.5933681,18.846399307251,0.220133006572723,r,99.0,2.0,0.0
36,2459502.5958102,18.9370021820068,0.191697031259537,r,99.0,2.0,0.0
37,2459502.5982523,18.8204078674316,0.19277748465538,r,99.0,2.0,0.0
38,2459502.6006829,18.7531051635742,0.133235529065132,r,99.0,2.0,0.0
39,2459503.5974537,18.2817993164062,0.289478003978729,r,99.0,2.0,0.0
40,2459503.5998958,18.4286003112793,0.213167995214462,r,99.0,2.0,0.0
41,2459504.5893403,18.8145198822021,0.170899286866188,r,99.0,2.0,0.0
42,2459504.5917708,18.747932434082,0.170804530382156,r,99.0,2.0,0.0
43,2459504.594213,18.6980133056641,0.144056707620621,r,99.0,2.0,0.0
44,2459504.5966435,18.5634098052979,0.145991072058678,r,99.0,2.0,0.0
45,2459504.5990741,18.5377311706543,0.115255147218704,r,99.0,2.0,0.0
46,2459502.5933681,18.846399307251,0.220133006572723,r,99.0,2.0,0.0
47,2459502.5958102,18.9370021820068,0.191697031259537,r,99.0,2.0,0.0
48,2459502.5982523,18.8204078674316,0.19277748465538,r,99.0,2.0,0.0
49,2459502.6006829,18.7531051635742,0.133235529065132,r,99.0,2.0,0.0
50,2459503.5974537,18.2817993164062,0.289478003978729,r,99.0,2.0,0.0
51,2459503.5998958,18.4286003112793,0.213167995214462,r,99.0,2.0,0.0
52,2459504.5893403,18.8145198822021,0.170899286866188,r,99.0,2.0,0.0
