,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459502.5914005,18.7474289794864,0.146152431957107,r,19.1772996526872,2.0,1.0
1,2459502.5938426,18.7357560155189,0.128433983443443,r,19.3059419230583,2.0,1.0
2,2459502.5962847,18.7955502819463,0.106307992974999,r,19.5710212734539,2.0,1.0
3,2459502.5987153,18.8112214799665,0.116409160883071,r,19.4881393723021,2.0,1.0
4,2459502.6011458,18.8593533661277,0.126858833905876,r,19.4429373676729,2.0,1.0
5,2459503.5906019,99.0,99.0,r,18.4062738306213,2.0,1.0
6,2459503.593044,99.0,99.0,r,18.625238101863,2.0,1.0
7,2459503.5954861,18.5478589672892,0.171163410730393,r,18.806217426442,2.0,1.0
8,2459503.6003588,18.931290154022,0.229057751910465,r,18.8733134580725,2.0,1.0
9,2459504.5898148,18.5956154814529,0.124553174327611,r,19.199114269739,2.0,1.0
10,2459504.5922454,18.7256696331074,0.164810537276917,r,19.0250929842736,2.0,1.0
11,2459504.5946759,18.732808959261,0.108593386855089,r,19.4851863026189,2.0,1.0
12,2459504.5971065,18.81895271226,0.133096948689083,r,19.3504182533988,2.0,1.0
13,2459504.599537,18.6683362697914,0.1070639456471,r,19.4361139476927,2.0,1.0
14,2459502.5914005,18.6557998657227,0.230140000581741,r,99.0,2.0,0.0
15,2459502.5938426,18.6807994842529,0.242963999509811,r,99.0,2.0,0.0
16,2459502.5962847,18.8199214935303,0.142983302474022,r,99.0,2.0,0.0
17,2459502.6011458,18.7709007263184,0.230707004666328,r,99.0,2.0,0.0
18,2459503.5954861,18.3815994262695,0.271881014108658,r,99.0,2.0,0.0
19,2459504.5898148,18.6036396026611,0.199935272336006,r,99.0,2.0,0.0
20,2459504.5922454,18.7085666656494,0.215110421180725,r,99.0,2.0,0.0
21,2459504.5946759,18.7528781890869,0.164472579956055,r,99.0,2.0,0.0
22,2459504.5971065,18.7975177764893,0.197596520185471,r,99.0,2.0,0.0
23,2459504.599537,18.6390705108643,0.192961692810059,r,99.0,2.0,0.0
24,2459502.5914005,18.6557998657227,0.230140000581741,r,99.0,2.0,0.0
25,2459502.5962847,18.8199214935303,0.142983302474022,r,99.0,2.0,0.0
26,2459502.6011458,18.7709007263184,0.230707004666328,r,99.0,2.0,0.0
27,2459503.5954861,18.3815994262695,0.271881014108658,r,99.0,2.0,0.0
28,2459504.5898148,18.6036396026611,0.199935272336006,r,99.0,2.0,0.0
29,2459504.5922454,18.7085666656494,0.215110421180725,r,99.0,2.0,0.0
30,2459504.5946759,18.7528781890869,0.164472579956055,r,99.0,2.0,0.0
31,2459504.5971065,18.7975177764893,0.197596520185471,r,99.0,2.0,0.0
