,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459503.0074884,99.0,99.0,r,20.8365953959002,2.0,1.0
1,2459503.8878935,99.0,99.0,r,20.0102689615732,2.0,1.0
2,2459503.9314583,99.0,99.0,r,20.5917767648984,2.0,1.0
3,2459503.9740856,99.0,99.0,g,21.126048790647,2.0,1.0
4,2459504.0071991,99.0,99.0,g,21.1232567070216,2.0,1.0
5,2459504.8845486,99.0,99.0,g,20.3105459223245,2.0,1.0
6,2459504.9867708,99.0,99.0,r,20.9756135545964,2.0,1.0
7,2459505.0116319,99.0,99.0,g,21.5913263671628,2.0,1.0
8,2459509.8588194,18.952146615089,0.0770810227629293,g,20.076663732847,2.0,1.0
9,2459509.9580556,19.2564360810042,0.0635308763195209,r,20.5908597554428,2.0,1.0
10,2459509.9914699,19.3790058881134,0.0695727358550026,r,20.6147939728437,2.0,1.0
11,2459510.0074306,18.98003036958,0.0601611694351266,g,20.3736254845642,2.0,1.0
12,2459511.8931829,19.1850298091935,0.0632754903979949,r,20.5238267989989,2.0,1.0
13,2459512.872037,19.0611445906284,0.0518966929393554,r,20.61518117026,2.0,1.0
14,2459512.8729861,19.0210936305637,0.0518893040147991,r,20.5752848056736,2.0,1.0
15,2459512.9122801,18.95072804177,0.06480606209258,g,20.2635747494327,2.0,1.0
16,2459513.0183218,19.0430895595474,0.0605156961276717,r,20.4303052650027,2.0,1.0
17,2459509.8588194,18.8894538879395,0.121440045535564,g,99.0,2.0,0.0
18,2459509.8848727,18.9912071228027,0.114079989492893,g,99.0,1.0,0.0
19,2459509.9580556,19.2489376068115,0.157727181911469,r,99.0,2.0,0.0
20,2459509.9914699,19.3479995727539,0.147075995802879,r,99.0,2.0,0.0
21,2459510.0074306,19.0293655395508,0.112634003162384,g,99.0,2.0,0.0
22,2459511.9120602,19.1959667205811,0.142898336052895,r,99.0,1.0,0.0
23,2459512.872037,19.0887317657471,0.139384195208549,r,99.0,2.0,0.0
24,2459512.8729861,19.0350341796875,0.132170170545578,r,99.0,2.0,0.0
25,2459509.8588194,18.8894538879395,0.121440045535564,g,99.0,2.0,0.0
26,2459509.8848727,18.9912071228027,0.114079989492893,g,99.0,1.0,0.0
27,2459509.9580556,19.2489376068115,0.157727181911469,r,99.0,2.0,0.0
28,2459509.9914699,19.3479995727539,0.147075995802879,r,99.0,2.0,0.0
29,2459510.0074306,19.0293655395508,0.112634003162384,g,99.0,2.0,0.0
30,2459512.872037,19.0887317657471,0.139384195208549,r,99.0,2.0,0.0
31,2459512.8729861,19.0350341796875,0.132170170545578,r,99.0,2.0,0.0
32,2459509.8588194,18.8894538879395,0.121440045535564,g,99.0,2.0,0.0
33,2459509.8848727,18.9912071228027,0.114079989492893,g,99.0,1.0,0.0
34,2459509.9580556,19.2489376068115,0.157727181911469,r,99.0,2.0,0.0
35,2459509.9914699,19.3479995727539,0.147075995802879,r,99.0,2.0,0.0
36,2459510.0074306,19.0293655395508,0.112634003162384,g,99.0,2.0,0.0
37,2459512.8729861,19.0350341796875,0.132170170545578,r,99.0,2.0,0.0
38,2459509.8588194,18.8894538879395,0.121440045535564,g,99.0,2.0,0.0
39,2459509.8848727,18.9912071228027,0.114079989492893,g,99.0,1.0,0.0
40,2459509.9914699,19.3479995727539,0.147075995802879,r,99.0,2.0,0.0
41,2459510.0074306,19.0293655395508,0.112634003162384,g,99.0,2.0,0.0
42,2459512.8729861,19.0350341796875,0.132170170545578,r,99.0,2.0,0.0
43,2459509.8588194,18.8894538879395,0.121440045535564,g,99.0,2.0,0.0
44,2459509.9914699,19.3479995727539,0.147075995802879,r,99.0,2.0,0.0
45,2459510.0074306,19.0293655395508,0.112634003162384,g,99.0,2.0,0.0
46,2459512.8729861,19.0350341796875,0.132170170545578,r,99.0,2.0,0.0
47,2459509.8588194,18.8894538879395,0.121440045535564,g,99.0,2.0,0.0
48,2459509.9914699,19.3479995727539,0.147075995802879,r,99.0,2.0,0.0
49,2459512.8729861,19.0350341796875,0.132170170545578,r,99.0,2.0,0.0
50,2459509.9914699,19.3479995727539,0.147075995802879,r,99.0,2.0,0.0
51,2459512.8729861,19.0350341796875,0.132170170545578,r,99.0,2.0,0.0
52,2459512.8729861,19.0350341796875,0.132170170545578,r,99.0,2.0,0.0
