,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459523.9571065,21.0371535119831,0.208588536113584,g,21.080813210544,2.0,1.0
1,2459523.9754745,20.5548393418647,0.229266055032467,i,20.495875735555,2.0,1.0
2,2459524.0184259,20.5921809904719,0.1240011779993,r,21.2005022522189,2.0,1.0
3,2459524.0409954,21.0772474965183,0.246326579156342,g,20.9403550964693,2.0,1.0
4,2459520.9681713,20.3473472595215,0.213390648365021,r,99.0,1.0,0.0
5,2459523.0176273,20.7161769866943,0.214733138680458,g,99.0,1.0,0.0
6,2459523.9571065,20.9071006774902,0.319400995969772,g,99.0,2.0,0.0
7,2459524.0184259,20.5813732147217,0.211394995450974,r,99.0,2.0,0.0
8,2459520.9681713,20.3473472595215,0.213390648365021,r,99.0,1.0,0.0
9,2459523.0176273,20.7161769866943,0.214733138680458,g,99.0,1.0,0.0
10,2459523.9571065,20.9071006774902,0.319400995969772,g,99.0,2.0,0.0
11,2459520.9681713,20.3473472595215,0.213390648365021,r,99.0,1.0,0.0
12,2459523.9571065,20.9071006774902,0.319400995969772,g,99.0,2.0,0.0
13,2459520.9681713,20.3473472595215,0.213390648365021,r,99.0,1.0,0.0
