,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459517.6373495,21.1145322186293,0.157206625306098,r,21.4652408952998,2.0,1.0
1,2459517.6821875,21.4455621051626,0.179955693759533,g,21.6495339137777,2.0,1.0
2,2459517.745787,21.2881792236941,0.172703067349515,r,21.5368148851214,2.0,1.0
3,2459517.8052315,20.7665447656242,0.225481846408447,i,20.7256515985154,2.0,1.0
4,2459518.7650579,20.8966222028511,0.126168131098198,g,21.4861338169551,2.0,1.0
5,2459520.6782986,20.6893201475732,0.110080626528262,g,21.4269287049077,2.0,1.0
6,2459520.6922106,20.2665195506685,0.100107196680756,r,21.1072420899579,2.0,1.0
7,2459520.7390856,20.4187764135554,0.0998341555732759,r,21.2624643304089,2.0,1.0
8,2459520.77875,20.7794208632108,0.141903064379551,g,21.2413272170631,2.0,1.0
9,2459520.8253819,20.6208219779803,0.226527092568512,i,20.5749073897275,2.0,1.0
10,2459521.6622338,20.1788898083058,0.0733906909833082,r,21.3566731557464,2.0,1.0
11,2459521.6989815,20.4206160193297,0.0900869581673562,g,21.3758470009489,2.0,1.0
12,2459521.7334259,20.5991667636456,0.106126998675889,g,21.3764878468865,2.0,1.0
13,2459521.7550231,20.3758632901954,0.0956800824518423,r,21.2656952270477,2.0,1.0
14,2459522.6743403,20.1847794141654,0.0875452865012357,r,21.1710832824226,2.0,1.0
15,2459522.7167593,20.496996931493,0.113374329860557,g,21.2025958880264,2.0,1.0
16,2459522.7384838,20.3379958485966,0.0899166337539194,g,21.2952815385185,2.0,1.0
17,2459522.8067014,19.9878600099187,0.0831099051225786,r,21.0306138326989,2.0,1.0
18,2459523.6344792,20.2169117472145,0.0760355416386939,r,21.3562559263457,2.0,1.0
19,2459523.6709028,20.0850404956643,0.109000596104971,i,20.8333541021887,2.0,1.0
20,2459523.7031829,20.3038461955567,0.0790722025491541,g,21.4006723941479,2.0,1.0
21,2459523.8054282,20.1353071583731,0.0707488872973299,g,21.3528939127486,2.0,1.0
22,2459518.7650579,20.9368991851807,0.243471994996071,g,99.0,2.0,0.0
23,2459520.7778125,20.7553005218506,0.286603987216949,g,99.0,1.0,0.0
24,2459521.6622338,20.1574554443359,0.158976912498474,r,99.0,2.0,0.0
25,2459521.6989815,20.3992137908936,0.177504241466522,g,99.0,2.0,0.0
26,2459521.7334259,20.5806999206543,0.221314996480942,g,99.0,2.0,0.0
27,2459522.6733912,20.2582454681396,0.154681593179703,r,99.0,1.0,0.0
28,2459522.6743403,20.1910419464111,0.168564781546593,r,99.0,2.0,0.0
29,2459522.7167593,20.4785995483398,0.259537994861603,g,99.0,2.0,0.0
30,2459522.7384838,20.2361831665039,0.197138622403145,g,99.0,2.0,0.0
31,2459522.7395486,20.3930244445801,0.159647285938263,g,99.0,1.0,0.0
32,2459522.8067014,19.900520324707,0.192603275179863,r,99.0,2.0,0.0
33,2459523.6344792,20.1847457885742,0.157878264784813,r,99.0,2.0,0.0
34,2459523.6709028,20.047700881958,0.214574992656708,i,99.0,2.0,0.0
35,2459523.7031829,20.2964763641357,0.154066845774651,g,99.0,2.0,0.0
36,2459523.8054282,20.0798835754395,0.182898804545403,g,99.0,2.0,0.0
37,2459518.7650579,20.9368991851807,0.243471994996071,g,99.0,2.0,0.0
38,2459520.7778125,20.7553005218506,0.286603987216949,g,99.0,1.0,0.0
39,2459521.6989815,20.3992137908936,0.177504241466522,g,99.0,2.0,0.0
40,2459521.7334259,20.5806999206543,0.221314996480942,g,99.0,2.0,0.0
41,2459522.6733912,20.2582454681396,0.154681593179703,r,99.0,1.0,0.0
42,2459522.6743403,20.1910419464111,0.168564781546593,r,99.0,2.0,0.0
43,2459522.7167593,20.4785995483398,0.259537994861603,g,99.0,2.0,0.0
44,2459522.7384838,20.2361831665039,0.197138622403145,g,99.0,2.0,0.0
45,2459522.7395486,20.3930244445801,0.159647285938263,g,99.0,1.0,0.0
46,2459522.8067014,19.900520324707,0.192603275179863,r,99.0,2.0,0.0
