,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459517.6205093,99.0,99.0,r,21.4292994298573,2.0,1.0
1,2459517.6558102,99.0,99.0,g,21.3873410085881,2.0,1.0
2,2459521.6380208,20.6910591019901,0.136891914585523,r,21.1920003970173,2.0,1.0
3,2459521.6851273,20.2317618816141,0.194994199059337,i,20.3485934417094,2.0,1.0
4,2459521.7022222,20.8489137027841,0.180715569523764,g,21.0483105649976,2.0,1.0
5,2459523.5998958,20.3974502992798,0.0830169026034402,r,21.4414197742969,2.0,1.0
6,2459523.6536227,20.2929960566876,0.0858689137679443,g,21.3002919228856,2.0,1.0
7,2459520.7018171,20.1611003875732,0.211978003382683,r,99.0,1.0,0.0
8,2459522.6588426,20.0678005218506,0.226363003253937,r,99.0,1.0,0.0
9,2459522.7210417,20.2462215423584,0.21496719121933,g,99.0,1.0,0.0
10,2459523.5998958,20.4249000549316,0.219029992818832,r,99.0,2.0,0.0
11,2459523.6536227,20.3046588897705,0.192649856209755,g,99.0,2.0,0.0
12,2459520.7018171,20.1611003875732,0.211978003382683,r,99.0,1.0,0.0
13,2459522.7210417,20.2462215423584,0.21496719121933,g,99.0,1.0,0.0
14,2459523.5998958,20.4249000549316,0.219029992818832,r,99.0,2.0,0.0
15,2459523.6536227,20.3046588897705,0.192649856209755,g,99.0,2.0,0.0
16,2459520.7018171,20.1611003875732,0.211978003382683,r,99.0,1.0,0.0
17,2459522.7210417,20.2462215423584,0.21496719121933,g,99.0,1.0,0.0
18,2459523.6536227,20.3046588897705,0.192649856209755,g,99.0,2.0,0.0
19,2459520.7018171,20.1611003875732,0.211978003382683,r,99.0,1.0,0.0
20,2459522.7210417,20.2462215423584,0.21496719121933,g,99.0,1.0,0.0
21,2459520.7018171,20.1611003875732,0.211978003382683,r,99.0,1.0,0.0
