,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459517.6102546,20.7308061989839,0.189348758707898,r,20.879535832047,2.0,1.0
1,2459517.7041782,20.9656406086829,0.148525880787396,g,21.3780210565062,2.0,1.0
2,2459518.7966551,20.4270986626572,0.124175117503591,r,21.0338980026768,2.0,1.0
3,2459520.6931597,20.4352623802998,0.137776182029855,r,20.9292128051984,2.0,1.0
4,2459520.7395718,20.3356319850147,0.141954004466391,r,20.79714865333,2.0,1.0
5,2459520.7796991,20.672346920758,0.167977200644252,g,20.9511068612837,2.0,1.0
6,2459521.6280324,20.4023804282982,0.122750918137936,r,21.0217043444092,2.0,1.0
7,2459521.6631829,20.6048119877063,0.140206648659204,r,21.0797762554254,2.0,1.0
8,2459521.6769907,99.0,99.0,i,20.3236246830746,2.0,1.0
9,2459521.698044,20.4628325925489,0.0962146797844661,g,21.3466150346276,2.0,1.0
10,2459521.723287,20.7323077281508,0.116338793202003,g,21.409882131016,2.0,1.0
11,2459522.6291551,20.5931742789407,0.123877031570168,g,21.2025830931943,2.0,1.0
12,2459522.6497569,20.6991629899583,0.162986656136116,r,21.0106686545992,2.0,1.0
13,2459522.707037,20.6413895578226,0.159803324062516,r,20.9743108248791,2.0,1.0
14,2459522.7148727,20.99268281488,0.195851074154928,g,21.1047537094713,2.0,1.0
15,2459523.6147222,20.3619946313604,0.101307258531862,r,21.1897790126927,2.0,1.0
16,2459523.6330556,20.7625378147902,0.151557187087768,r,21.1529822635288,2.0,1.0
17,2459523.7041782,20.8503881927807,0.142949964964735,g,21.3043138487375,2.0,1.0
18,2459523.8035417,20.6694419577759,0.173562911187074,g,20.9126854319158,2.0,1.0
19,2459517.6845833,20.8078994750977,0.237756997346878,g,99.0,1.0,0.0
20,2459517.7041782,20.9354991912842,0.244553998112679,g,99.0,2.0,0.0
21,2459520.6792477,20.8122997283936,0.279875010251999,g,99.0,1.0,0.0
22,2459520.6931597,20.3819007873535,0.229287996888161,r,99.0,2.0,0.0
23,2459520.7395718,20.3624000549316,0.252241998910904,r,99.0,2.0,0.0
24,2459520.7796991,20.6989002227783,0.319986999034882,g,99.0,2.0,0.0
25,2459521.698044,20.5470008850098,0.225825995206833,g,99.0,2.0,0.0
26,2459522.7148727,20.8931007385254,0.294447988271713,g,99.0,2.0,0.0
27,2459523.6147222,20.4326210021973,0.171306610107422,r,99.0,2.0,0.0
28,2459517.6845833,20.8078994750977,0.237756997346878,g,99.0,1.0,0.0
29,2459517.7041782,20.9354991912842,0.244553998112679,g,99.0,2.0,0.0
30,2459520.6792477,20.8122997283936,0.279875010251999,g,99.0,1.0,0.0
31,2459520.7395718,20.3624000549316,0.252241998910904,r,99.0,2.0,0.0
32,2459520.7796991,20.6989002227783,0.319986999034882,g,99.0,2.0,0.0
33,2459521.698044,20.5470008850098,0.225825995206833,g,99.0,2.0,0.0
34,2459522.7148727,20.8931007385254,0.294447988271713,g,99.0,2.0,0.0
35,2459523.6147222,20.4326210021973,0.171306610107422,r,99.0,2.0,0.0
36,2459517.6845833,20.8078994750977,0.237756997346878,g,99.0,1.0,0.0
37,2459517.7041782,20.9354991912842,0.244553998112679,g,99.0,2.0,0.0
38,2459520.6792477,20.8122997283936,0.279875010251999,g,99.0,1.0,0.0
39,2459520.7796991,20.6989002227783,0.319986999034882,g,99.0,2.0,0.0
40,2459521.698044,20.5470008850098,0.225825995206833,g,99.0,2.0,0.0
41,2459522.7148727,20.8931007385254,0.294447988271713,g,99.0,2.0,0.0
42,2459523.6147222,20.4326210021973,0.171306610107422,r,99.0,2.0,0.0
43,2459517.6845833,20.8078994750977,0.237756997346878,g,99.0,1.0,0.0
44,2459517.7041782,20.9354991912842,0.244553998112679,g,99.0,2.0,0.0
45,2459520.6792477,20.8122997283936,0.279875010251999,g,99.0,1.0,0.0
46,2459521.698044,20.5470008850098,0.225825995206833,g,99.0,2.0,0.0
47,2459522.7148727,20.8931007385254,0.294447988271713,g,99.0,2.0,0.0
48,2459523.6147222,20.4326210021973,0.171306610107422,r,99.0,2.0,0.0
49,2459517.6845833,20.8078994750977,0.237756997346878,g,99.0,1.0,0.0
50,2459517.7041782,20.9354991912842,0.244553998112679,g,99.0,2.0,0.0
51,2459520.6792477,20.8122997283936,0.279875010251999,g,99.0,1.0,0.0
52,2459522.7148727,20.8931007385254,0.294447988271713,g,99.0,2.0,0.0
53,2459523.6147222,20.4326210021973,0.171306610107422,r,99.0,2.0,0.0
54,2459517.6845833,20.8078994750977,0.237756997346878,g,99.0,1.0,0.0
55,2459517.7041782,20.9354991912842,0.244553998112679,g,99.0,2.0,0.0
56,2459520.6792477,20.8122997283936,0.279875010251999,g,99.0,1.0,0.0
57,2459523.6147222,20.4326210021973,0.171306610107422,r,99.0,2.0,0.0
58,2459517.6845833,20.8078994750977,0.237756997346878,g,99.0,1.0,0.0
59,2459517.7041782,20.9354991912842,0.244553998112679,g,99.0,2.0,0.0
60,2459520.6792477,20.8122997283936,0.279875010251999,g,99.0,1.0,0.0
61,2459517.7041782,20.9354991912842,0.244553998112679,g,99.0,2.0,0.0
62,2459520.6792477,20.8122997283936,0.279875010251999,g,99.0,1.0,0.0
63,2459520.6792477,20.8122997283936,0.279875010251999,g,99.0,1.0,0.0
