,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459522.0266551,19.4958000183105,0.352719992399216,r,99.0,1,0.0
1,2459523.0268866,19.6937732696533,0.185947552323341,r,99.0,1,0.0
2,2459523.029375,19.8499794006348,0.173028245568275,r,99.0,1,0.0
3,2459523.0318634,19.90500831604,0.195150539278984,r,99.0,1,0.0
4,2459522.0266551,19.4958000183105,0.352719992399216,r,99.0,1,0.0
5,2459523.029375,19.8499794006348,0.173028245568275,r,99.0,1,0.0
6,2459523.0318634,19.90500831604,0.195150539278984,r,99.0,1,0.0
7,2459522.0266551,19.4958000183105,0.352719992399216,r,99.0,1,0.0
8,2459523.0318634,19.90500831604,0.195150539278984,r,99.0,1,0.0
9,2459522.0266551,19.4958000183105,0.352719992399216,r,99.0,1,0.0
