,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459521.8767824,20.0401593582229,0.117925679543527,r,20.7030241784765,2.0,1.0
2,2459523.9205093,19.490888926478,0.0538561654991184,r,21.0046861433753,2.0,1.0
143,2459526.8525231,19.2634572642182,0.0472627911175045,r,20.9190446397165,2.0,1.0
146,2459523.8563542,19.5986518859863,0.122446238994598,g,99.0,1.0,0.0
147,2459523.8568171,19.4588985443115,0.139047279953957,g,99.0,1.0,0.0
148,2459523.9205093,19.5346355438232,0.123265400528908,r,99.0,2.0,0.0
149,2459524.8379282,19.42844581604,0.136557281017303,g,99.0,1.0,0.0
150,2459524.8393634,19.3916931152344,0.127068862318993,g,99.0,1.0,0.0
151,2459524.8738194,19.5472602844238,0.125176802277565,r,99.0,1.0,0.0
152,2459524.8747685,19.4483814239502,0.125282272696495,r,99.0,1.0,0.0
261,2459526.8434028,19.2668170928955,0.105736844241619,r,99.0,1.0,0.0
262,2459526.8525231,19.2591323852539,0.104244150221348,r,99.0,2.0,0.0
264,2459526.860081,19.1905498504639,0.113013528287411,g,99.0,1.0,0.0
265,2459526.8605556,19.0865001678467,0.129881501197815,g,99.0,1.0,0.0
266,2459526.9829745,19.2513217926025,0.11427415907383,r,99.0,1.0,0.0
268,2459523.8563542,19.5986518859863,0.122446238994598,g,99.0,1.0,0.0
269,2459523.8568171,19.4588985443115,0.139047279953957,g,99.0,1.0,0.0
270,2459523.9205093,19.5346355438232,0.123265400528908,r,99.0,2.0,0.0
271,2459524.8379282,19.42844581604,0.136557281017303,g,99.0,1.0,0.0
272,2459524.8393634,19.3916931152344,0.127068862318993,g,99.0,1.0,0.0
273,2459524.8738194,19.5472602844238,0.125176802277565,r,99.0,1.0,0.0
274,2459524.8747685,19.4483814239502,0.125282272696495,r,99.0,1.0,0.0
382,2459526.8434028,19.2668170928955,0.105736844241619,r,99.0,1.0,0.0
383,2459526.8525231,19.2591323852539,0.104244150221348,r,99.0,2.0,0.0
385,2459526.860081,19.1905498504639,0.113013528287411,g,99.0,1.0,0.0
386,2459526.8605556,19.0865001678467,0.129881501197815,g,99.0,1.0,0.0
387,2459526.9829745,19.2513217926025,0.11427415907383,r,99.0,1.0,0.0
389,2459523.8563542,19.5986518859863,0.122446238994598,g,99.0,1.0,0.0
390,2459523.8568171,19.4588985443115,0.139047279953957,g,99.0,1.0,0.0
391,2459523.9205093,19.5346355438232,0.123265400528908,r,99.0,2.0,0.0
392,2459524.8379282,19.42844581604,0.136557281017303,g,99.0,1.0,0.0
393,2459524.8393634,19.3916931152344,0.127068862318993,g,99.0,1.0,0.0
394,2459524.8738194,19.5472602844238,0.125176802277565,r,99.0,1.0,0.0
395,2459524.8747685,19.4483814239502,0.125282272696495,r,99.0,1.0,0.0
502,2459526.8434028,19.2668170928955,0.105736844241619,r,99.0,1.0,0.0
503,2459526.8525231,19.2591323852539,0.104244150221348,r,99.0,2.0,0.0
505,2459526.860081,19.1905498504639,0.113013528287411,g,99.0,1.0,0.0
506,2459526.8605556,19.0865001678467,0.129881501197815,g,99.0,1.0,0.0
507,2459526.9829745,19.2513217926025,0.11427415907383,r,99.0,1.0,0.0
509,2459523.8563542,19.5986518859863,0.122446238994598,g,99.0,1.0,0.0
510,2459523.8568171,19.4588985443115,0.139047279953957,g,99.0,1.0,0.0
511,2459523.9205093,19.5346355438232,0.123265400528908,r,99.0,2.0,0.0
512,2459524.8379282,19.42844581604,0.136557281017303,g,99.0,1.0,0.0
513,2459524.8393634,19.3916931152344,0.127068862318993,g,99.0,1.0,0.0
514,2459524.8738194,19.5472602844238,0.125176802277565,r,99.0,1.0,0.0
515,2459524.8747685,19.4483814239502,0.125282272696495,r,99.0,1.0,0.0
621,2459526.8434028,19.2668170928955,0.105736844241619,r,99.0,1.0,0.0
622,2459526.8525231,19.2591323852539,0.104244150221348,r,99.0,2.0,0.0
624,2459526.860081,19.1905498504639,0.113013528287411,g,99.0,1.0,0.0
625,2459526.8605556,19.0865001678467,0.129881501197815,g,99.0,1.0,0.0
626,2459526.9829745,19.2513217926025,0.11427415907383,r,99.0,1.0,0.0
628,2459523.8563542,19.5986518859863,0.122446238994598,g,99.0,1.0,0.0
629,2459523.8568171,19.4588985443115,0.139047279953957,g,99.0,1.0,0.0
630,2459523.9205093,19.5346355438232,0.123265400528908,r,99.0,2.0,0.0
631,2459524.8379282,19.42844581604,0.136557281017303,g,99.0,1.0,0.0
632,2459524.8393634,19.3916931152344,0.127068862318993,g,99.0,1.0,0.0
633,2459524.8738194,19.5472602844238,0.125176802277565,r,99.0,1.0,0.0
634,2459524.8747685,19.4483814239502,0.125282272696495,r,99.0,1.0,0.0
739,2459526.8434028,19.2668170928955,0.105736844241619,r,99.0,1.0,0.0
740,2459526.8525231,19.2591323852539,0.104244150221348,r,99.0,2.0,0.0
742,2459526.860081,19.1905498504639,0.113013528287411,g,99.0,1.0,0.0
743,2459526.8605556,19.0865001678467,0.129881501197815,g,99.0,1.0,0.0
744,2459526.9829745,19.2513217926025,0.11427415907383,r,99.0,1.0,0.0
746,2459523.8563542,19.5986518859863,0.122446238994598,g,99.0,1.0,0.0
747,2459523.8568171,19.4588985443115,0.139047279953957,g,99.0,1.0,0.0
748,2459523.9205093,19.5346355438232,0.123265400528908,r,99.0,2.0,0.0
749,2459524.8379282,19.42844581604,0.136557281017303,g,99.0,1.0,0.0
750,2459524.8393634,19.3916931152344,0.127068862318993,g,99.0,1.0,0.0
751,2459524.8738194,19.5472602844238,0.125176802277565,r,99.0,1.0,0.0
752,2459524.8747685,19.4483814239502,0.125282272696495,r,99.0,1.0,0.0
856,2459526.8434028,19.2668170928955,0.105736844241619,r,99.0,1.0,0.0
857,2459526.8525231,19.2591323852539,0.104244150221348,r,99.0,2.0,0.0
859,2459526.860081,19.1905498504639,0.113013528287411,g,99.0,1.0,0.0
860,2459526.8605556,19.0865001678467,0.129881501197815,g,99.0,1.0,0.0
861,2459526.9829745,19.2513217926025,0.11427415907383,r,99.0,1.0,0.0
863,2459523.8563542,19.5986518859863,0.122446238994598,g,99.0,1.0,0.0
864,2459523.8568171,19.4588985443115,0.139047279953957,g,99.0,1.0,0.0
865,2459523.9205093,19.5346355438232,0.123265400528908,r,99.0,2.0,0.0
866,2459524.8379282,19.42844581604,0.136557281017303,g,99.0,1.0,0.0
867,2459524.8393634,19.3916931152344,0.127068862318993,g,99.0,1.0,0.0
868,2459524.8738194,19.5472602844238,0.125176802277565,r,99.0,1.0,0.0
869,2459524.8747685,19.4483814239502,0.125282272696495,r,99.0,1.0,0.0
